text,title
"A 65-year-old man who has chronic lymphocytic leukemia has the sudden onset of fatigue and shortness of breath. 
Laboratory studies show: Hemoglobin 6.5 g/dL Hematocrit 19% Leukocyte count 50,000/mm3 Platelet count 170,000/mm3 Reticulocyte count 8% Serum bilirubin Total 4 mg/dL Conjugated 0.5 mg/dL 
A peripheral blood smear is shown. Which of the following is the most likely cause of the anemia?

Answer
Hereditary spherocytosis",Q5_A1
"A 65-year-old man who has chronic lymphocytic leukemia has the sudden onset of fatigue and shortness of breath. 
Laboratory studies show: Hemoglobin 6.5 g/dL Hematocrit 19% Leukocyte count 50,000/mm3 Platelet count 170,000/mm3 Reticulocyte count 8% Serum bilirubin Total 4 mg/dL Conjugated 0.5 mg/dL 
A peripheral blood smear is shown. Which of the following is the most likely cause of the anemia?

Answer
Autoimmune hemolysis",Q5_A2
"A healthy 35-year-old woman who wishes to become a regular platelet donor comes to a blood donation center. Blood is obtained by venous phlebotomy into sodium citrate and processed to yield platelet-rich plasma (PRP) for platelet function studies. She has no personal or family history of bleeding disorders. Aliquots of the PRP are subsequently analyzed using a light- transmittance platelet aggregometer. Adding a 5 uM solution of which of the following reagents 
to the PRP is most likely to cause a rapid and irreversible aggregation pattern in these studies? 

Answer
Adenosine diphosphate",Q6_A1
"A healthy 35-year-old woman who wishes to become a regular platelet donor comes to a blood donation center. Blood is obtained by venous phlebotomy into sodium citrate and processed to yield platelet-rich plasma (PRP) for platelet function studies. She has no personal or family history of bleeding disorders. Aliquots of the PRP are subsequently analyzed using a light- transmittance platelet aggregometer. Adding a 5 uM solution of which of the following reagents 
to the PRP is most likely to cause a rapid and irreversible aggregation pattern in these studies? 

Answer
Immune globulin",Q6_A2
"A newborn is delivered at 40 weeks’ gestation to a 20-year-old woman after an uncomplicated pregnancy. Physical examination shows male-like external genitalia, with clitoral hypertrophy and labial fusion. The karyotype is 46,XX. The serum concentration of cortisol is decreased and serum concentrations of 17-hydroxyprogesterone, androstenedione, and testosterone are increased. Which of the following is the most likely cause of the findings in this newborn?

Answer
Increased anti-millerian hormone secretion",Q7_A1
"A newborn is delivered at 40 weeks’ gestation to a 20-year-old woman after an uncomplicated pregnancy. Physical examination shows male-like external genitalia, with clitoral hypertrophy and labial fusion. The karyotype is 46,XX. The serum concentration of cortisol is decreased and serum concentrations of 17-hydroxyprogesterone, androstenedione, and testosterone are increased. Which of the following is the most likely cause of the findings in this newborn?

Answer
Defect in adrenal steroid biosynthesis",Q7_A2
"A 45-year-old homeless man is brought to the emergency department by police 30 minutes after he was found unconscious. His breath and clothes smell of alcohol. His temperature is 36.8°C (98.2°F), pulse is 68/min, respirations are 14/min, and blood pressure is 110/55 mm Hg. Physical examination shows bronzed skin and spider angiomata on the chest. Laboratory studies show: Hemoglobin 10 g/dL Hematocrit 30% Mean corpuscular volume 110 pm3 Leukocyte count 9000/mm3 Segmented neutrophils 70% Lymphocytes 20% Monocytes 10% Platelet count 160,000/mm?3 Serum Ferritin 200 ng/mL. Vitamin B ,2 (cobalamin) 500 pg/mL (N=160-950) RBC folate 20 ng/mL (N=166-640) 
A peripheral blood smear shows occasional hypersegmented neutrophils and 3+ oval macrocytes. Serum studies are most likely to show which of the following sets of additional findings?

Answer
Methylmalonic / Acid Homocysteine:
Normal / decreased ",Q8_A1
"A 45-year-old homeless man is brought to the emergency department by police 30 minutes after he was found unconscious. His breath and clothes smell of alcohol. His temperature is 36.8°C (98.2°F), pulse is 68/min, respirations are 14/min, and blood pressure is 110/55 mm Hg. Physical examination shows bronzed skin and spider angiomata on the chest. Laboratory studies show: Hemoglobin 10 g/dL Hematocrit 30% Mean corpuscular volume 110 pm3 Leukocyte count 9000/mm3 Segmented neutrophils 70% Lymphocytes 20% Monocytes 10% Platelet count 160,000/mm?3 Serum Ferritin 200 ng/mL. Vitamin B ,2 (cobalamin) 500 pg/mL (N=160-950) RBC folate 20 ng/mL (N=166-640) 
A peripheral blood smear shows occasional hypersegmented neutrophils and 3+ oval macrocytes. Serum studies are most likely to show which of the following sets of additional findings?

Answer
Methylmalonic / Acid Homocysteine:
Normal / increased ",Q8_A2
"An investigator conducts a phase 1 clinical trial to test the efficacy of a systemic antagonist to lymphocyte function-associated antigen 1 (LFA-1). The drug is approved for topical administration to treat keratoconjunctivitis sicca in patients with multiple sclerosis. During the trial, it is found that these patients are at an increased risk for bacterial infection as a result of this drug. The most likely explanation for this risk is drug-induced blockade of which of the following segmented neutrophil activities?

Answer
Activation of phagocytosis",Q9_A1
"An investigator conducts a phase 1 clinical trial to test the efficacy of a systemic antagonist to lymphocyte function-associated antigen 1 (LFA-1). The drug is approved for topical administration to treat keratoconjunctivitis sicca in patients with multiple sclerosis. During the trial, it is found that these patients are at an increased risk for bacterial infection as a result of this drug. The most likely explanation for this risk is drug-induced blockade of which of the following segmented neutrophil activities?

Answer
Adhesion to endothelium",Q9_A2
"A 1-year-old boy is brought to the physician by his parents because of a 4-week history of progressive generalized tonic-clonic seizures and a strange odor to his urine. He has a history of delayed development. He was adopted from an orphanage in Russia at the age of 6 months. Physical examination shows fair skin and blond hair. His phenylalanine hydroxylase gene is homozygous for a point mutation (GT—AT) in intron 12 of the affected gene that causes skipping of exon 12. Which of the following is the most likely explanation for exon skipping in this patient's affected gene?

Answer
Gene duplication",Q10_A1
"A 1-year-old boy is brought to the physician by his parents because of a 4-week history of progressive generalized tonic-clonic seizures and a strange odor to his urine. He has a history of delayed development. He was adopted from an orphanage in Russia at the age of 6 months. Physical examination shows fair skin and blond hair. His phenylalanine hydroxylase gene is homozygous for a point mutation (GT—AT) in intron 12 of the affected gene that causes skipping of exon 12. Which of the following is the most likely explanation for exon skipping in this patient's affected gene?

Answer
RNA splice error",Q10_A2
