title,url,metadesc,norm_summary
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.," What is leukemia? Leukemia is a term for cancers of the blood cells. Leukemia starts in blood-forming tissues such as the bone marrow. Your bone marrow makes the cells which will develop into white blood cells, red blood cells, and platelets. Each type of cell has a different job: White blood cells help your body fight infection Red blood cells deliver oxygen from your lungs to your tissues and organs Platelets help form clots to stop bleeding When you have leukemia, your bone marrow makes large numbers of abnormal cells. This problem most often happens with white blood cells. These abnormal cells build up in your bone marrow and blood. They crowd out the healthy blood cells and make it hard for your cells and blood to do their work. What is acute myeloid leukemia (AML)? Acute myeloid leukemia (AML) is a type of acute leukemia. ""Acute"" means that the leukemia usually gets worse quickly if it's not treated. In AML, the bone marrow makes abnormal myeloblasts (a type of white blood cell), red blood cells, or platelets. When the abnormal cells crowd out the healthy cells, it can lead to infection, anemia , and easy bleeding. The abnormal cells can also spread outside the blood to other parts of the body. There are several different subtypes of AML. The subtypes are based on how developed the cancer cells are when you get your diagnosis and how different they are from normal cells. What causes acute myeloid leukemia (AML)? AML happens when there are changes in the genetic material (DNA) in bone marrow cells. The cause of these genetic changes is unknown. However, there are certain factors that raise your risk of AML. Who is at risk for acute myeloid leukemia (AML)? The factors that raise your risk of AML include Being male Smoking, especially after age 60 Having had chemotherapy or radiation therapy Treatment for acute lymphoblastic leukemia (ALL) as a child Exposure to the chemical benzene A history of another blood disorder such as myelodysplastic syndrome What are the symptoms of acute myeloid leukemia (AML)? The signs and symptoms of AML include Fever Shortness of breath Easy bruising or bleeding Petechiae, which are tiny red dots under the skin. They are caused by bleeding. Weakness or feeling tired Weight loss or loss of appetite Bone or joint pain, if the abnormal cells build up near or inside the bones How is acute myeloid leukemia (AML) diagnosed? Your health care provider may use many tools to diagnose AML and figure out which subtype you have: A physical exam A medical history Blood tests, such as a complete blood count (CBC) and blood smear Bone marrow tests . There are two main types - bone marrow aspiration and bone marrow biopsy. Both tests involve removing a sample of bone marrow and bone. The samples are sent to a lab for testing. Genetic tests to look for gene and chromosome changes If you are diagnosed with AML, you may have additional tests to see whether the cancer has spread. These include imaging tests and a lumbar puncture , which is a procedure to collect and test cerebrospinal fluid (CSF). What are the treatments for acute myeloid leukemia (AML)? Treatments for AML include Chemotherapy Radiation therapy Chemotherapy with stem cell transplant Other anticancer medicines Which treatment you get often depends on which subtype of AML you have. Treatment is usually done in two phases: The goal of the first phase is to kill the leukemia cells in the blood and bone marrow. This puts the leukemia into remission. Remission means that the signs and symptoms of cancer are reduced or have disappeared. The second phase is known as post-remission therapy. Its goal is to prevent a relapse (return) of the cancer. It involves killing any remaining leukemia cells that may not be active but could begin to regrow. NIH: National Cancer Institute"
Addison Disease,https://medlineplus.gov/addisondisease.html, Your adrenal glands makes hormones. Adrenal insufficiency or Addison disease happens if the adrenal glands don't make enough hormones. Read more. ," Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance. Addison disease happens if the adrenal glands don't make enough of these hormones. A problem with your immune system usually causes Addison disease. The immune system mistakenly attacks your own tissues, damaging your adrenal glands. Other causes include infections and cancer. Symptoms include Weight loss Muscle weakness Fatigue that gets worse over time Low blood pressure Patchy or dark skin Lab tests can confirm that you have Addison disease. If you don't treat it, it can be fatal. You will need to take hormone pills for the rest of your life. If you have Addison disease, you should carry an emergency ID. It should say that you have the disease, list your medicines and say how much you need in an emergency. NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Adenoids,https://medlineplus.gov/adenoids.html,"Your adenoids are high up in your throat. They trap germs coming in your mouth and nose. Learn about enlarged adenoids, a common problem in children."," What are adenoids? Adenoids are a patch of tissue that is high up in the throat, just behind the nose. They, along with the tonsils, are part of the lymphatic system. The lymphatic system clears away infection and keeps body fluids in balance. The adenoids and tonsils work by trapping germs coming in through the mouth and nose. Adenoids usually start to shrink after about age 5. By the teenage years, they are almost completely gone. By then, the body has other ways to fight germs. What are enlarged adenoids? Enlarged adenoids are adenoids that are swollen. It is a common problem in children. What causes enlarged adenoids? Your child's adenoids can be enlarged, or swollen, for different reasons. It may just be that your child had enlarged adenoids at birth. Adenoids can also become enlarged when they are trying to fight off an infection. They might stay enlarged even after the infection is gone. What problems can enlarged adenoids cause? Enlarged adenoids can make it hard to breathe through the nose. Your child might end up breathing only through the mouth. This may cause A dry mouth , which can also lead to bad breath Cracked lips A runny nose Other problems that enlarged adenoids can cause include Loud breathing Snoring Restless sleep Sleep apnea , where you repeatedly stop breathing for a few seconds while sleeping Ear infections How can enlarged adenoids be diagnosed? Your child's health care provider will take a medical history, check your child's ears, throat, and mouth, and feel your child's neck. Since the adenoids are higher up than the throat, the health care provider cannot see them just by looking through your child's mouth. To check the size of your child's adenoids, your provider may use A special mirror in the mouth A long, flexible tube with a light (an endoscope) An x-ray What are the treatments for enlarged adenoids? The treatment depends on what is causing the problem. If your child's symptoms are not too bad, he or she may not need treatment. Your child might get nasal spray to reduce the swelling, or antibiotics if the health care provider thinks that your child has a bacterial infection. In some cases your child may need an adenoidectomy. What is an adenoidectomy and why might I my child need one? An adenoidectomy is surgery to remove the adenoids. Your child might need it if He or she has repeated infections of the adenoids. Sometimes the infections can also cause ear infections and fluid buildup in the middle ear. Antibiotics can't get rid of a bacterial infection The enlarged adenoids block the airways If your child also has problems with his or her tonsils, he or she will probably have a tonsillectomy (removal of the tonsils) at the same time that the adenoids are removed. After having the surgery, your child usually goes home the same day. He or she will probably have some throat pain, bad breath, and a runny nose. It can take several days to feel all better."
Adhesions,https://medlineplus.gov/adhesions.html,"Abdominal surgery is the main cause of adhesions but not the only one. Learn about the signs, symptoms, and causes this type of scar tissue. "," Adhesions are bands of scar-like tissue. Normally, internal tissues and organs have slippery surfaces so they can shift easily as the body moves. Adhesions cause tissues and organs to stick together. They might connect the loops of the intestines to each other, to nearby organs, or to the wall of the abdomen. They can pull sections of the intestines out of place. This may block food from passing through the intestine. Adhesions can occur anywhere in the body. But they often form after surgery on the abdomen. Almost everyone who has surgery on the abdomen gets adhesions. Some adhesions don't cause any problems. But when they partly or completely block the intestines , they cause symptoms such as Severe abdominal pain or cramping Vomiting Bloating An inability to pass gas Constipation Adhesions can sometimes cause infertility in women by preventing fertilized eggs from reaching the uterus. No tests are available to detect adhesions. Doctors usually find them during surgery to diagnose other problems. Some adhesions go away by themselves. If they partly block your intestines, a diet low in fiber can allow food to move easily through the affected area. If you have a complete intestinal obstruction, it is life-threatening. You should get immediate medical attention and may need surgery. NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Adrenal Gland Cancer,https://medlineplus.gov/adrenalglandcancer.html,Tumors can affect adrenal glands. Most adrenal gland tumors are benign. Types of tumors include Neuroblastoma and Pheochromocytoma.," Your adrenal, or suprarenal, glands are located on the top of each kidney. These glands produce hormones that you can't live without, including sex hormones and cortisol, which helps you respond to stress and has many other functions. A number of disorders can affect the adrenal glands , including tumors. Tumors can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. Most adrenal gland tumors are benign. They usually do not cause symptoms and may not require treatment. Malignant adrenal gland cancers are uncommon. Types of tumors include Adrenocortical carcinoma - cancer in the outer part of the gland Neuroblastoma , a type of childhood cancer Pheochromocytoma - a rare tumor that is usually benign Symptoms depend on the type of cancer you have. Treatments may include surgery, chemotherapy, or radiation therapy."
Adrenal Gland Disorders,https://medlineplus.gov/adrenalglanddisorders.html,"Adrenal gland disorders, such as Cushing's Syndrome and Addison's Disease, happen when your glands make too much or not enough hormones."," The adrenal glands are small glands located on top of each kidney. They produce hormones that you can't live without, including sex hormones and cortisol. Cortisol helps you respond to stress and has many other important functions. With adrenal gland disorders, your glands make too much or not enough hormones. In Cushing's syndrome , there's too much cortisol, while with Addison's disease , there is too little. Some people are born unable to make enough cortisol. Causes of adrenal gland disorders include Genetic mutations Tumors including pheochromocytomas Infections A problem in another gland, such as the pituitary, which helps to regulate the adrenal gland Certain medicines Treatment depends on which problem you have. Surgery or medicines can treat many adrenal gland disorders. NIH: National Institute of Child Health and Human Development"
Advance Directives,https://medlineplus.gov/advancedirectives.html,"Advance directives, or living wills, inform your family about your wishes if you become too ill to let them know. Find out more. "," What kind of medical care would you want if you were too ill or hurt to express your wishes? Advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. They give you a way to tell your wishes to family, friends, and health care professionals and to avoid confusion later on. A living will tells which treatments you want if you are dying or permanently unconscious. You can accept or refuse medical care. You might want to include instructions on The use of dialysis and breathing machines If you want to be resuscitated if your breathing or heartbeat stops Tube feeding Organ or tissue donation A durable power of attorney for health care is a document that names your health care proxy. Your proxy is someone you trust to make health decisions for you if you are unable to do so. NIH: National Cancer Institute"
After Surgery,https://medlineplus.gov/aftersurgery.html,"Are you concerned about post-surgery side effects or after surgery care? Learn about how to care for incisions, control pain, and more."," After any operation , you'll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect. There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to anesthesia , or accidental injury. Some people have a greater risk of complications because of other medical conditions. Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are How long you will be in the hospital What kind of supplies, equipment, and help you might need when you go home When you can go back to work When it is ok to start exercising again Are they any other restrictions in your activities Following your surgeon's advice can help you recover as soon as possible. Agency for Healthcare Research and Quality"
Air Pollution,https://medlineplus.gov/airpollution.html,Did you know that air pollution can happen both inside buildings and outdoors?  Get the facts how air pollution effects your health.," Air pollution is a mixture of solid particles and gases in the air. Car emissions, chemicals from factories, dust, pollen and mold spores may be suspended as particles. Ozone , a gas, is a major part of air pollution in cities. When ozone forms air pollution, it's also called smog. Some air pollutants are poisonous. Inhaling them can increase the chance you'll have health problems. People with heart or lung disease, older adults and children are at greater risk from air pollution. Air pollution isn't just outside - the air inside buildings can also be polluted and affect your health. Environmental Protection Agency"
Alcohol,https://medlineplus.gov/alcohol.html,"Moderate drinking may be safe for most people. But drinking too much can be harmful, so it's important to know how alcohol affects you and how much is too much."," If you are like many Americans, you drink alcohol at least occasionally. For many people, moderate drinking is probably safe. But drinking less is better for your health than drinking more. And there are some people who should not drink at all. Because drinking too much can be harmful, it's important to know how alcohol affects you and how much is too much. How does alcohol affect the body? Alcohol is a central nervous system depressant. This means that it is a drug that slows down brain activity. It can change your mood, behavior, and self-control. It can cause problems with memory and thinking clearly. Alcohol can also affect your coordination and physical control. Alcohol also has effects on the other organs in your body. For example, it can raise your blood pressure and heart rate. If you drink too much at once, it could make you throw up. Why are the effects of alcohol different from person to person? Alcohol's effects vary from person to person, depending on a variety of factors, including: How much you drank How quickly you drank it The amount of food you ate before drinking Your age Your sex Your race or ethnicity Your physical condition Whether or not you have a family history of alcohol problems What is moderate drinking? For most women, moderate drinking is no more than one standard drink a day For most men, moderate drinking is no more than two standard drinks a day Even though moderate drinking may be safe for many people, there are still risks. Moderate drinking can raise the risk of death from certain cancers and heart diseases. What is a standard drink? In the United States, a standard drink is one that contains about 14 grams of pure alcohol, which is found in: 12 ounces of beer (5% alcohol content) 5 ounces of wine (12% alcohol content) 1.5 ounces or a ""shot"" of distilled spirits or liquor (40% alcohol content) Who should not drink alcohol? Some people should not drink alcohol at all, including those who Are recovering from an alcohol use disorder (AUD) or are unable to control the amount they drink Are under age 21 Are pregnant or trying to become pregnant Are taking medicines that can interact with alcohol Have medical conditions that get can worse if you drink alcohol Are planning on driving Will be operating machinery If you have questions about whether it is safe for you to drink, talk with your health care provider. What is excessive drinking? Excessive drinking includes binge drinking and heavy alcohol use: Binge drinking is drinking so much at once that your blood alcohol concentration (BAC) level is 0.08% or more. For a man, this usually happens after having 5 or more drinks within a few hours. For a woman, it is after about 4 or more drinks within a few hours. Heavy alcohol use is having having more than 4 drinks on any day for men or more than 3 drinks for women Binge drinking raises your risk of injuries, car crashes, and alcohol poisoning. It also puts you of becoming violent or being the victim of violence. Heavy alcohol use over a long period of time may cause health problems such as Alcohol use disorder Liver diseases , including cirrhosis and fatty liver disease Heart diseases Increased risk for certain cancers Increased risk of injuries Heavy alcohol use can also cause problems at home, at work, and with friends. But treatment can help. NIH: National Institute on Alcohol Abuse and Alcoholism"
Alcohol Use Disorder (AUD),https://medlineplus.gov/alcoholusedisorderaud.html,An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.," What is alcohol use disorder (AUD)? For most adults, moderate alcohol use is probably not harmful. However, about 18 million adult Americans have an alcohol use disorder (AUD). This means that their drinking causes distress and harm. AUD can range from mild to severe, depending on the symptoms. Severe AUD is sometimes called alcoholism or alcohol dependence. AUD is a disease that causes Craving - a strong need to drink Loss of control - not being able to stop drinking once you've started Negative emotional state - feeling anxious and irritable when you are not drinking What is binge drinking? Binge drinking is drinking so much at once that your blood alcohol concentration (BAC) level is 0.08% or more. For a man, this usually happens after having 5 or more drinks within a few hours. For a woman, it is after about 4 or more drinks within a few hours. Not everyone who binge drinks has an AUD, but they are at higher risk for getting one. What are the dangers of too much alcohol? Too much alcohol is dangerous. Heavy drinking can increase the risk of certain cancers. It may lead to liver diseases , such as fatty liver disease and cirrhosis . It can also cause damage to the brain and other organs. Drinking during pregnancy can harm your baby . Alcohol also increases the risk of death from car crashes, injuries, homicide, and suicide. How do I know if I have an alcohol use disorder (AUD)? You may have an AUD if you can answer yes to two or more of these questions: In the past year, have you Ended up drinking more or for a longer time than you had planned to? Wanted to cut down or stop drinking, or tried to, but couldn't? Spent a lot of your time drinking or recovering from drinking? Felt a strong need to drink? Found that drinking - or being sick from drinking - often interfered with your family life, job, or school? Kept drinking even though it was causing trouble with your family or friends? Given up or cut back on activities that you enjoyed just so you could drink? Gotten into dangerous situations while drinking or after drinking? Some examples are driving drunk and having unsafe sex. Kept drinking even though it was making you feel depressed or anxious? Or when it was adding to another health problem? Had to drink more and more to feel the effects of the alcohol? Had withdrawal symptoms when the alcohol was wearing off? They include trouble sleeping, shakiness, irritability, anxiety , depression , restlessness, nausea , and sweating . In severe cases, you could have a fever , seizures , or hallucinations. If you have any of these symptoms, your drinking may already be a cause for concern. The more symptoms you have, the more serious the problem is. What should I do if I think that I might have an alcohol use disorder (AUD)? If you think you might have an AUD, see your health care provider for an evaluation. Your provider can help make a treatment plan , prescribe medicines, and if needed, give you treatment referrals. NIH: National Institute on Alcohol Abuse and Alcoholism"
