     subject  timepoint event    region    signal
419       s0         11  stim   frontal -0.026104
420       s1         11  stim   frontal -0.133647
421       s2         11  stim   frontal -0.049446
422       s3         11  stim   frontal -0.067520
423       s4         11  stim   frontal -0.107947
424       s5         11  stim   frontal -0.103937
425       s6         11  stim   frontal -0.138152
426       s7         11  stim   frontal -0.042579
427       s8         11  stim   frontal -0.060692
428       s9         11  stim   frontal -0.092758
429      s10         11  stim   frontal -0.020110
430      s11         11  stim   frontal -0.154564
431      s12         11  stim   frontal -0.035377
432       s0         12  stim   frontal  0.003067
433      s13         11  stim   frontal -0.114215
434       s1         12  stim   frontal -0.093411
435       s4         14  stim   frontal -0.070692
436       s2         12  stim   frontal -0.027012
437       s9         15  stim   frontal -0.048007
438       s4         12  stim   frontal -0.080444
439       s5         12  stim   frontal -0.079538
440       s6         12  stim   frontal -0.155546
441       s7         12  stim   frontal -0.042475
442       s8         12  stim   frontal -0.096825
443       s9         12  stim   frontal -0.083663
444      s10         12  stim   frontal -0.019425
445      s11         12  stim   frontal -0.115369
446      s12         12  stim   frontal -0.032616
447      s13         12  stim   frontal -0.090087
448       s0         13  stim   frontal  0.003330
449       s1         13  stim   frontal -0.052714
450       s2         13  stim   frontal -0.016092
451       s3         13  stim   frontal -0.107386
452       s4         13  stim   frontal -0.071227
453       s5         13  stim   frontal -0.054614
454       s6         13  stim   frontal -0.132768
455       s7         13  stim   frontal -0.026165
456       s8         13  stim   frontal -0.109371
457       s9         13  stim   frontal -0.075484
458      s10         13  stim   frontal -0.013740
459      s11         13  stim   frontal -0.065245
460      s12         13  stim   frontal -0.032663
461      s13         13  stim   frontal -0.055234
462       s0         14  stim   frontal -0.002700
463       s1         14  stim   frontal -0.021003
464       s2         14  stim   frontal -0.010429
465       s3         14  stim   frontal -0.090363
466       s5         14  stim   frontal -0.037696
467       s3         12  stim   frontal -0.103477
468       s7         14  stim   frontal -0.000925
469      s10         16  stim   frontal -0.003057
470       s9         14  stim   frontal -0.061817
471      s10         14  stim   frontal -0.007162
472      s11         14  stim   frontal -0.029558
473      s12         14  stim   frontal -0.039787
474      s13         14  stim   frontal -0.022506
475       s0         15  stim   frontal -0.011966
476       s1         15  stim   frontal -0.005134
477       s2         15  stim   frontal -0.013846
478       s3         15  stim   frontal -0.063136
479       s4         15  stim   frontal -0.070937
480       s5         15  stim   frontal -0.028027
481       s6         15  stim   frontal -0.040139
482      s11          9  stim   frontal -0.114304
483       s8         15  stim   frontal -0.084825
484      s10         15  stim   frontal -0.004118
485      s11         15  stim   frontal -0.016907
486      s12         15  stim   frontal -0.049689
487      s13         15  stim   frontal -0.000076
488       s0         16  stim   frontal -0.021399
489       s1         16  stim   frontal -0.002719
490       s2         16  stim   frontal -0.030634
491       s3         16  stim   frontal -0.034023
492       s4         16  stim   frontal -0.065939
493       s5         16  stim   frontal -0.026812
494       s6         16  stim   frontal -0.002926
495       s7         16  stim   frontal  0.014301
496       s8         16  stim   frontal -0.064510
497       s9         16  stim   frontal -0.036739
498       s0         17  stim   frontal -0.039322
499       s8         14  stim   frontal -0.102198
500       s7         15  stim   frontal  0.015163
501      s11         16  stim   frontal -0.020795
502       s2         18  stim   frontal -0.058471
503      s12         16  stim   frontal -0.059462
504       s2         17  stim   frontal -0.049078
505       s3         17  stim   frontal -0.014400
506       s4         17  stim   frontal -0.062506
507       s5         17  stim   frontal -0.029921
508       s6         17  stim   frontal  0.038575
509       s7         17  stim   frontal  0.001212
510       s8         17  stim   frontal -0.042657
511       s9         17  stim   frontal -0.030099
512      s11         17  stim   frontal -0.025345
513      s12         17  stim   frontal -0.060134
514      s13         17  stim   frontal  0.023494
515       s0         18  stim   frontal -0.048430
516       s1         18  stim   frontal -0.035852
517      s10         17  stim   frontal -0.004571
518       s3         18  stim   frontal -0.010920
519       s9         18  stim   frontal -0.009959
520       s1         17  stim   frontal -0.015686
521       s0          0  stim  parietal -0.039327
522      s13         18  stim   frontal  0.024425
523      s12         18  stim   frontal -0.062332
524      s11         18  stim   frontal -0.030784
525      s10         18  stim   frontal -0.008928
526      s13         16  stim   frontal  0.014085
527       s8         18  stim   frontal -0.011114
528       s6         18  stim   frontal  0.046500
529       s5         18  stim   frontal -0.031013
530       s4         18  stim   frontal -0.063263
531       s7         18  stim   frontal -0.019634
532       s3          4   cue  parietal  0.058219
533       s6          5   cue  parietal  0.038145
534       s7          5   cue  parietal -0.008158
535       s8          5   cue  parietal  0.047136
536       s9          5   cue  parietal  0.055847
537      s10          5   cue  parietal  0.037892
538       s0          4   cue  parietal  0.115321
539       s1          4   cue  parietal  0.149242
540      s12          5   cue  parietal  0.047577
541       s7          2   cue  parietal -0.076609
542       s8          2   cue  parietal -0.021569
543       s9          2   cue  parietal -0.009779
544       s4          5   cue  parietal  0.186053
545       s5          5   cue  parietal  0.028700
546       s2          4   cue  parietal  0.048464
547       s3          5   cue  parietal  0.088904
548       s2          5   cue  parietal  0.007216
549       s1          5   cue  parietal  0.215735
550       s0          5   cue  parietal  0.102044
551      s13          4   cue  parietal  0.053692
552      s12          4   cue  parietal  0.058198
553      s11          4   cue  parietal  0.008013
554      s10          4   cue  parietal  0.034109
555       s9          4   cue  parietal  0.061188
556       s8          4   cue  parietal  0.031201
557       s7          4   cue  parietal -0.046347
558       s6          4   cue  parietal  0.022271
559       s5          4   cue  parietal  0.051541
560       s4          4   cue  parietal  0.213117
561      s11          2   cue  parietal -0.054846
562      s10          2   cue  parietal -0.026118
563       s9          8   cue  parietal -0.039841
564      s12          2   cue  parietal -0.009485
565      s13          5   cue  parietal  0.081027
566       s4         14   cue   frontal -0.026796
567       s8          8   cue  parietal -0.023400
568       s7          8   cue  parietal  0.018398
569       s6          8   cue  parietal -0.056234
570       s5          8   cue  parietal -0.057073
571       s4          8   cue  parietal -0.181241
572       s3          8   cue  parietal -0.016939
573       s2          8   cue  parietal -0.077413
574       s1          8   cue  parietal -0.065756
575       s0          8   cue  parietal -0.002738
576      s13          7   cue  parietal  0.003324
577      s12          7   cue  parietal -0.010311
578      s10          7   cue  parietal -0.039477
579       s5         14   cue   frontal -0.017213
580      s11          5   cue  parietal  0.042613
581      s13          2   cue  parietal -0.029330
582      s13          3   cue  parietal  0.000748
583      s12          3   cue  parietal  0.030270
584      s11          3   cue  parietal -0.032159
585      s10          3   cue  parietal  0.002068
586       s9          3   cue  parietal  0.029298
587       s8          3   cue  parietal -0.000823
588       s7          3   cue  parietal -0.071386
589       s6          3   cue  parietal -0.009296
590       s5          3   cue  parietal  0.046519
591       s4          3   cue  parietal  0.129606
592       s3          3   cue  parietal  0.014796
593       s2          3   cue  parietal  0.049428
594       s1          3   cue  parietal  0.033003
595       s0          3   cue  parietal  0.085040
596       s9          0   cue   frontal -0.008117
597       s9          6   cue   frontal  0.026864
598       s3         14   cue   frontal -0.030614
599       s8          3   cue   frontal -0.004987
600       s4          6   cue   frontal  0.063487
601       s3          6   cue   frontal  0.073902
602       s2          6   cue   frontal -0.054405
603       s1          6   cue   frontal  0.058831
604       s0          6   cue   frontal  0.050776
605      s13          5   cue   frontal  0.056731
606      s12          5   cue   frontal -0.006805
607      s11          5   cue   frontal  0.015301
608      s10          5   cue   frontal -0.008964
609       s9          5   cue   frontal  0.047048
610       s8          5   cue   frontal  0.018260
611       s7          5   cue   frontal -0.017946
612       s5          5   cue   frontal  0.035830
613       s0          7   cue   frontal  0.034597
614       s6          3   cue   frontal  0.008901
615       s2         14   cue   frontal  0.038996
616       s8          1   cue   frontal -0.004702
617       s7          1   cue   frontal -0.045232
618       s6          1   cue   frontal  0.014063
619       s5          1   cue   frontal -0.018493
620       s4          1   cue   frontal -0.031674
621       s3          1   cue   frontal  0.000653
622       s2          1   cue   frontal -0.010528
623       s1          1   cue   frontal -0.045580
624       s0          1   cue   frontal  0.016440
625      s13          0   cue   frontal -0.012576
626      s12          0   cue   frontal  0.005239
627      s11          0   cue   frontal -0.050033
628      s10          0   cue   frontal -0.012412
629      s11          8   cue  parietal  0.005470
630       s5          6   cue   frontal  0.012551
631       s6          6   cue   frontal -0.021460
632       s7          6   cue   frontal -0.003307
633       s8          6   cue   frontal  0.022374
634       s2          5   cue   frontal -0.013418
635       s1          5   cue   frontal  0.128592
636       s0          5   cue   frontal  0.067086
637      s13          4   cue   frontal  0.058704
638      s12          4   cue   frontal -0.000457
639      s11          4   cue   frontal -0.004533
640      s10          4   cue   frontal -0.004133
641       s9          4   cue   frontal  0.054909
642       s8          4   cue   frontal  0.007850
643       s7          4   cue   frontal -0.030818
644       s6          4   cue   frontal  0.002407
645       s5          4   cue   frontal  0.040826
646       s4          4   cue   frontal  0.204171
647       s3          4   cue   frontal  0.053443
648       s2          4   cue   frontal  0.013212
649       s1          4   cue   frontal  0.112545
650       s0          4   cue   frontal  0.069775
651      s13          3   cue   frontal  0.034135
652      s12          3   cue   frontal -0.002159
653      s11          3   cue   frontal -0.036840
654      s10          3   cue   frontal -0.012393
655       s3          5   cue   frontal  0.080447
656       s9          3   cue   frontal  0.048598
657       s4          5   cue   frontal  0.188521
658       s6          5   cue   frontal -0.007726
659      s13          6   cue   frontal  0.022420
660      s12          6   cue   frontal -0.008855
661      s11          6   cue   frontal  0.005734
662      s10          6   cue   frontal -0.027481
663      s10          8   cue  parietal -0.066165
664       s9         14   cue   frontal  0.010535
665      s12          8   cue  parietal -0.017423
666      s12         17   cue   frontal  0.003671
667       s8          1   cue  parietal -0.022675
668       s7          1   cue  parietal -0.074132
669       s6          1   cue  parietal -0.004284
670       s5          1   cue  parietal  0.010086
671       s4          1   cue  parietal -0.037429
672       s3          1   cue  parietal -0.021506
673       s2          1   cue  parietal  0.001066
674       s1          1   cue  parietal -0.070932
675       s0          1   cue  parietal  0.000300
676      s13          0   cue  parietal -0.018394
677      s12          0   cue  parietal -0.014797
678      s11          0   cue  parietal -0.051896
679      s10          0   cue  parietal -0.031430
680      s13         17   cue   frontal -0.004190
681      s11         17   cue   frontal  0.073757
682      s13          8   cue  parietal -0.048435
683      s10         17   cue   frontal  0.005244
684      s12         15   cue   frontal -0.004490
685      s11         15   cue   frontal  0.047102
686      s10         15   cue   frontal  0.011241
687       s9         15   cue   frontal  0.002170
688       s8         15   cue   frontal  0.025383
689       s7         15   cue   frontal -0.027467
690       s6         15   cue   frontal  0.010052
691       s5         15   cue   frontal -0.019507
692       s4         15   cue   frontal -0.032512
693       s3         15   cue   frontal -0.022377
694       s2         15   cue   frontal  0.024734
695       s1         15   cue   frontal  0.012594
696       s0         15   cue   frontal -0.019637
697       s9          1   cue  parietal -0.027915
698      s10          1   cue  parietal -0.038732
699      s11          1   cue  parietal -0.058920
700      s12          1   cue  parietal -0.025904
701       s7          0   cue   frontal -0.043021
702       s5          0   cue  parietal  0.004315
703       s4          0   cue  parietal -0.045956
704       s3          0   cue  parietal -0.021160
705       s2          0   cue  parietal  0.006142
706       s1          0   cue  parietal -0.057706
707       s1          0   cue   frontal -0.040937
708      s13         18   cue   frontal -0.012163
709      s12         18   cue   frontal  0.004384
710      s11         18   cue   frontal  0.090520
711       s6          0   cue  parietal  0.021450
712      s10         18   cue   frontal -0.003251
713       s8         18   cue   frontal  0.014358
714       s7         18   cue   frontal -0.037439
715       s6         18   cue   frontal  0.012248
716       s5         18   cue   frontal  0.022501
717       s4         18   cue   frontal -0.045560
718       s3         18   cue   frontal -0.023402
719       s2         18   cue   frontal  0.015343
720       s1         18   cue   frontal -0.001534
721       s0         18   cue   frontal -0.003497
722       s9         18   cue   frontal -0.000643
723       s7          0   cue  parietal -0.063537
724       s8          0   cue  parietal -0.015460
725       s9          0   cue  parietal -0.028993
726       s2          2   cue  parietal  0.019591
727       s1          2   cue  parietal -0.052213
728       s0          2   cue  parietal  0.033220
729      s13          1   cue  parietal -0.025184
730      s13         14   cue   frontal -0.005701
731      s12         14   cue   frontal -0.003318
732      s11         14   cue   frontal  0.050133
733       s6          2   cue  parietal -0.022924
734       s6          7   cue  parietal -0.019875
