text,category
"isolation-allowance Tenant shall be entitled to a one-time improvement allowance (the ""Construction Allowance"") in the amount of FOUR HUNDRED FIFTY THOUSAND AND 00/100 ($450,000.00) DOLLARS for the costs relating to the initial design and construction of Tenant's improvements which are permanently affixed to the Premises (the ""Tenant Improvements""). In no event shall Landlord be obligated to make disbursements pursuant to this Tenant Work Letter in a total amount which exceeds the Construction Allowance and in no event shall Tenant be entitled to any credit for any unused portion of the Construction Allowance not used by Tenant within ninety (90) days following the Additional Premises Rent Commencement Date.",ti-allowance
"<strong>Tenant Improvement</strong> Plans Allowance: See Schedule “F-1” attached hereto Notices: Tenant’s Address for Notices prior to the Commencement Date: American CareSource Holdings, Inc. c/o Baker Xxxxxxxx Xxxxxxx Xxxxxxxx & Xxxxxxxxx 000 00xx Xxxxxx Xxxxx, Xxxxx 0000 Xxxxxxxxxx, Xxxxxxx 00000 Attn: Xxxx X. Xxxxxx, General Counsel Tenant’s Address for Notices after the Commencement Date: The Leased Premises Landlord’s Address for Notices: Xxxx Xxxxxxx Life Insurance Company (U.S.A.) c/o Manulife Financial Property Management Xxxxxx 0000 Xxxxxxxxx Xxxxxx, Xxxxx 000 Xxxxxxx, Xxxxxxx 00000 Attention: Lease Administration with a copy to: Xxxx Xxxxxxx Life Insurance Company (U.S.A.) x/x Xxxxxxxx Xxxxxxxxx Xxxxxxx Xxxx Xxxxxx Xxxxxx 0000 Xxxxxxxxx Xxxxxx, Xxxxx 0000 Xxxxxxx, Xxxxxxx 00000 Attention: Leasing Brokers: Tenant’s Real Estate Broker: XXX Xxxxxxx/Xxxxxxx, LLC Landlord’s Real Estate Broker: N/A Certain of the information relating to the Lease, including certain definitions and many of the principal economic terms, are set forth in the foregoing Basic Lease Information Rider (the “BLI Rider”). The BLI Rider and the Lease are, by this reference, hereby incorporated into one another. In the event of any direct conflict between the terms of the BLI Rider and the terms of the Lease, the BLI Rider shall control. Landlord Tenant",ti-allowance
"Tenant shall receive a Tenant Improvement Allowance as shown on Exhibit ""C"" attached.",ti-allowance
"(a) Landlord shall contribute an amount of $52.00 per usable square foot of the Premises ($1,893,372.00 based on 36,411 usable square feet) (the “TI Allowance”), the total amount of which shall be subject to adjustment as set forth in the definition of “Premises” in Paragraph 1 of the Lease, toward the costs incurred for the Tenant Improvements and Change Orders, including, without limitation, painting, carpeting, tile, wall covering, light fixtures, plans, permits, insurance, architectural and engineering fees, signage, data cabling and card access systems (but expressly excluding Tenant’s Property not expressly set forth in the foregoing list); provided, however, that if all or any portion of the TI Allowance is not used on or before the date that is one (1) year after the Commencement Date, the TI Allowance or such portion that is not used shall be lost and shall no longer be available to Tenant. In calculating the cost of Tenant Improvements and Change Orders, Landlord shall give Tenant the benefit of any cash, trade and quantity discounts actually received by Landlord.",ti-allowance
construction-of-tenant-improvements Tenant shall accept the premises “AS-IS” condition unless otherwise mentioned.,ti-allowance
"Disbursement of the Tenant Improvement Allowance The first grammatical sentence of Article 7 of the First Amendment is hereby amended by deleting the term “Six Hundred Seven Thousand Four Hundred Twenty Dollars ($607,420)” and replacing with it with the term “Five Hundred Fourteen Thousand Eighty-Eight Dollars ($514,088),” such that the “TI Allowance” under the First Amendment shall be an amount equal to Five Hundred Fourteen Thousand Eighty-Eight Dollars ($514,088).",ti-allowance
"Landlord’s Work Tenant accepts the Premises in its ""as it"" condition and acknowledges that it has had an opportunity to inspect the Premises prior to signing the Lease. Landlord shall provide a Tenant Improvement Allowance (""Tenant Improvement Allowance"") of One Hundred Twenty Five Thousand Dollars ($125,000.00) to be used toward the total cost of design, engineering, city and other agency fees, and construction cost for the tenant improvements (""Tenant Improvements""), including carpet, paint, and other minor construction. Said improvements are to be determined and mutually agreed upon by Landlord and Tenant. Tenant shall be responsible for any Tenant Improvements exceeding Landlord's contribution. Should said Tenant Improvements be less than $125,000.00, Landlord will be obligated for only those amounts expended. The tenant improvement allowance shall be applicable only to costs incurred and work performed within 120 days from the Term Commencement Date. Landlord and/or Tenant shall retain the services of the space planner/architect mutually agreed upon by Landlord and Tenant (the ""Space Planner"") to prepare a to prepare detailed plans, specifications and working drawings for the construction of the tenant improvements (the ""Plans"") mutually satisfactory to Landlord and Tenant for the construction of the Tenant Improvements in the Premises. Landlord shall have no responsibility or liability whatsoever for any errors or omissions contained in the Space Plan or Plans, or to verify dimensions or conditions, or for the quality, design or compliance with applicable Regulation of any improvements described therein or constructed in accordance therewith.",ti-allowance
"Landlord Improvements Landlord, at Landlord’s sole cost and expense, shall install a ventilation hood of sufficient size and exhaust capability to vent one soldering iron, location to be mutually agreed upon between Landlord and Tenant and noted in Exhibit C. The shipping and receiving area shall be converted into an office area with one (1) private office and carpeted floor per attached Exhibit C.",ti-allowance
"Sublessor, using its space planner and contractor, and at their sole cost and expense, subject to review and approval by Sublessor, shall build-out the Premises in accordance with the revised drawings dated December 21, 1992 drawn by John Xxxxxxxx & Xssociates, and marked Exhibit 'C"" & ""C-1"" and the itemized cost construction budget prepared by DMK Construction which will be attached as Exhibit ""D"" to this Sublease. Sublessor recognizes that minor changes may be necessary to complete the working drawings and the final working drawing will be attached to this Sublease as Exhibit ""E."" All of such work shall be completed by Sublessor in accordance with Exhibit ""C,"" ""C-1"" and ""E,"" in a good and workmanlike manner and to the standards of tenant improvements in similar buildings, free of defects in materials or workmanship. Subject only to delays caused by change orders executed by Sublessee, the improvements shall be completed on or prior to March 1, 1993. In the event the tenant improvements are not substantially completed to Sublessee's reasonable satisfaction on or prior to that date, rent under this Sublease shall commence ten (10) days following substantially completion of tenant improvements. In the event that Sublessee requires suite development in excess of work shown in the attached Exhibits 'C,"" ""C-1,"" ""D""& ""E,"" then and in that event, such cost shall be deemed a ""change order' requiring extra cost and provided Sublessee has requested such additional work in writing or signed a ""change order,"" payment for such extra cost incurred pursuant to such change order shall be paid by Sublessee to Sublessor within five (5) business days from date Sublessor provides the Sublessee an invoice for such additional cost. It is also agreed that in the event such change order causes a delay in the substantial completion of the Premises, such delay shall not delay the commencement date nor shall it extend the rental abatement period as described in this Addendum.",ti-allowance
"Meal Allowance Landlord will contribute to the costs of performing the Tenant Improvement Work, as depicted on the Approved Working Drawings, to the extent of the lesser of (a) Four Million Seven Hundred Ninety Seven Thousand Four Hundred and 00/100 Dollars ($4,797,400.00) (calculated at the rate of $50.00 per rentable square foot in the Premises) or (b) the actual cost for such work (the ""Construction Allowance""). Tenant shall pay all costs in excess of the Construction Allowance for the design of the Tenant Improvements and performance of the Tenant Improvement Work. In no event shall Landlord be obligated to make disbursements pursuant to this Work Letter in an amount which exceeds the Construction Allowance. All costs associated with the construction of the Tenant Improvements shall be shared with Landlord on an ""open-book"" basis promptly upon request. Tenant shall not be entitled to a credit for any unused portion of the Construction Allowance in the form of a rent credit, rent abatement or otherwise).",ti-allowance
"Landlord shall provide to Tenant a tenant improvement TI Allowance (""TI Allowance"") of not less than $20 and not more than $200 (any increase above $20, shall be in an increment of $15.00 for the first increase and thereafter in increments of $10, until the last increment, which shall be an increment of $5) per rentable square foot of the Premises, not to exceed a total TI Allowance for Phases I and II of $4,700,000. Before commencing any Tenant's Work for Phase I or Phase II, Tenant shall notify Landlord how much TI Allowance Tenant has elected to receive from Landlord for such Phase. Such election shall be final and binding on Tenant, and may not thereafter be modified without Landlord's consent, which may granted or withheld in Landlord's sole and absolute discretion. The TI Allowance shall be disbursed by Landlord in accordance with this Work Letter.",ti-allowance
"landlord-improvements The Premises shall continue to be occupied in an “as-is” condition, except Landlord shall provide tenant improvements at Landlord’s sole cost and expense as detailed in Xxxxxx Xxxxx and Associates space plan dated May 15, 2008, attached as Exhibit A and as further noted in the plan’s construction notes and construction keynotes, and as bid by Xxxxx Construction in the May 28, 2008 proposal, attached as Exhibit B. Landlord and Tenant recognize the space plan will be converted into more detailed construction drawings (if required). Landlord shall be responsible for standard plan architectural services and any permit fees incurred. Any additional improvements beyond those identified in the construction drawings shall be at Tenant’s expense. Tenant shall be responsible for relocation of furniture necessary to accommodate the construction and any phone/data cabling and furniture reinstallation, and shall coordinate such moves to accommodate a mutually agreed upon construction schedule. Landlord’s contractor shall conduct improvements during the day, and make efforts to minimize any disruption to Tenant’s business. Landlord shall proceed to complete the tenant improvements as soon as reasonably possible.",ti-allowance
"tenant-improvement-plans Tenant agrees to accept the premises in their ""as is"" condition, subject to the following improvements to be made at the Landlord's expense. Landlord shall at its sole costs and expense:",ti-allowance
"Landlord and Tenant agree to amend Exhibit M ---------------------- --------- Tenant's Work Letter by deleting the first sentence of Section 3.6 and substituting the following in lieu thereof: ""Landlord will provide Tenant a construction allowance (""Allowance""): (a) first, to pay for the cost of preparing the Space Plans and the Working Drawings for the Tenant Finish Work, along with all architectural and engineering costs incurred in connection with the Tenant",ti-allowance
"Landlord shall make available for use by Tenant the Expansion Allowance, the Tenant Improvement Allowance and the Additional Tenant Improvement Allowance as such terms are defined in Section 6 of the Second Amendment. Before commencing the Tenant Improvements (as defined in Section 6 below), Tenant shall notify Landlord how much Additional Tenant Improvement Allowance Tenant has elected to receive from Landlord. Such election shall be final and binding on Tenant, and may not thereafter be modified without Landlord’s consent, which may be granted or withheld in Landlord’s sole and absolute subjective discretion. The TI Allowance shall be disbursed in accordance with this Work Letter. Tenant shall have no right to the use or benefit (including any reduction to or payment of Base Rent) of any portion of the TI Allowance not required for the construction of (i) the Tenant Improvements described in the TI Construction Drawings approved pursuant to Section 2(d) or (ii) any Changes pursuant to Section 4.",ti-allowance
(a) Tenant accepts the premises in “as is” condition.,ti-allowance
C-1-2 Construction Contract................................................... C-1-2 Construction Cost....................................................... C-1-3 Contractor Date......................................................... C-1-2 Control................................................................. -15- Costs................................................................... -20- Effective Date.......................................................... -1-,ti-allowance
"Landlord shall provide Tenant with the TI Allowance, which shall be used by Tenant for construction costs in connection with Tenant’s Work. Notwithstanding the foregoing, up to $182,720.00 of the TI Allowance may be applied to moving expenses incurred by Tenant in connection with moving in to the Premises. The TI Allowance shall be payable as follows:",ti-allowance
"Disbursement of Tenant Improvement Allowance Notwithstanding anything to the contrary contained in this Exhibit D, for the purpose of Tenant’s modification of the Premises, Landlord agrees to contribute an amount equal to Two Hundred Sixty-Five Thousand One Hundred Ten Dollars ($265,110.00) (the “2061 Construction Allowance”) toward the cost of Tenant’s Work. In the event the cost of Tenant’s Work exceeds the 2061 Construction Allowance, such excess amount shall be borne solely by Tenant. Upon written request from Tenant made within two (2) years of the “Commencement Date” under the 850 Lease and from time to time but not more than on a monthly basis, Landlord shall pay to Tenant all or a portion of the 2061 Construction Allowance, as described below, within thirty (30) days after receiving an invoice therefor, as such costs are incurred by Tenant and after Tenant has delivered to Landlord the following:",ti-allowance
"(a) Landlord shall contribute the total amount of $100,000.00 (the “TI Allowance”) toward the costs incurred for the Tenant Improvements and Change Orders, including, without limitation, painting, carpeting, tile, wall covering, light fixtures, plans, permits, insurance and architectural fees (but expressly excluding Tenant’s personal property). The TI Allowance will be allocated $87,620.00 to the initial expansion and the existing space, and $12,380.00 to the subsequent expansion.",ti-allowance
"Landlord, at Landlord’s sole cost and expense, shall install a ventilation hood of sufficient size and exhaust capability to vent one soldering iron, location to be mutually agreed upon between Landlord and Tenant and noted in Exhibit C. The shipping and receiving area shall be converted into an office area with one (1) private office and carpeted floor per attached Exhibit C.",ti-allowance
"not to exceed Three Hundred Seventy-Five Thousand Dollars ($375,000.00) based upon Fifteen Dollars ($15.00) per square foot of Rentable Area of the Premises and subject to revision to reflect the actual Rentable Area of the Premises as of the Commencement Date.",ti-allowance
"Meal Allowance (a) Landlord shall provide to Tenant a construction allowance (the “Suite 140 Construction Allowance”) not exceeding $181,856.00 (namely, $12.00 per square foot on 5,458 sq. ft. (Suite 140A), $12.00 per square foot on 5,489 sq. ft. within Suite 140B, and $10.40 per square foot on the remaining 4,855 sq. ft. within Suite 140B) the entire of which sum is available for Suite 140. The Suite 140 Construction Allowance may be allocated to either bio-lab or office finish out. The Suite 140 Construction Allowance shall be used for (i) construction costs under the construction contract and subcontracts, (ii) a construction management fee of 3% of Total Construction Costs to be paid to Landlord (and which shall be deducted by Landlord from the Construction Allowance), (iii) the cost of the Drawings and the construction documents, including any third party fees incurred by Landlord to pay for review of the Drawings by Landlord’s consultants, including the Building’s mechanical and electrical engineers, and, (iv) tenant directory and suite signage.",ti-allowance
"Landlord shall provide Tenant with a Tenant Improvement Allowance of THIRTY-ONE THOUSAND AND NO/100 DOLLARS ($31,000.00) to reimburse Tenant for tenant improvements reasonably incurred by Tenant to put the Expansion Premises in condition suitable for the conduct of Tenant's business in accordance with plans and specifications reasonably approved by Landlord pursuant to the Lease. The foregoing allowance shall be disbursed to Tenant against the delivery by Tenant to Landlord of paid invoices showing such costs incurred and paid by Tenant.",ti-allowance
"<strong>Tenant Improvement</strong> Allowance Sublessor, using its space planner and contractor, and at their sole cost and expense, subject to review and approval by Sublessor, shall build-out the Premises in accordance with the revised drawings dated December 21, 1992 drawn by John Xxxxxxxx & Xssociates, and marked Exhibit 'C"" & ""C-1"" and the itemized cost construction budget prepared by DMK Construction which will be attached as Exhibit ""D"" to this Sublease. Sublessor recognizes that minor changes may be necessary to complete the working drawings and the final working drawing will be attached to this Sublease as Exhibit ""E."" All of such work shall be completed by Sublessor in accordance with Exhibit ""C,"" ""C-1"" and ""E,"" in a good and workmanlike manner and to the standards of tenant improvements in similar buildings, free of defects in materials or workmanship. Subject only to delays caused by change orders executed by Sublessee, the improvements shall be completed on or prior to March 1, 1993. In the event the tenant improvements are not substantially completed to Sublessee's reasonable satisfaction on or prior to that date, rent under this Sublease shall commence ten (10) days following substantially completion of tenant improvements. In the event that Sublessee requires suite development in excess of work shown in the attached Exhibits 'C,"" ""C-1,"" ""D""& ""E,"" then and in that event, such cost shall be deemed a ""change order' requiring extra cost and provided Sublessee has requested such additional work in writing or signed a ""change order,"" payment for such extra cost incurred pursuant to such change order shall be paid by Sublessee to Sublessor within five (5) business days from date Sublessor provides the Sublessee an invoice for such additional cost. It is also agreed that in the event such change order causes a delay in the substantial completion of the Premises, such delay shall not delay the commencement date nor shall it extend the rental abatement period as described in this Addendum.",ti-allowance
"Except for the Tenant Improvement Allowance Tenant shall be responsible, as to both cost and performance, for the Tenant Improvements. Landlord shall pay up to $45.00 per square foot of the Floor Area of the Demised Premises (“Tenant Improvement Allowance”) for the costs of the Tenant Improvements. The Tenant Improvement Allowance may be applied to all hard and soft construction costs, including architectural and engineering fees, moving costs, signage costs, data/telecommunications cabling costs, furniture, fixture and equipments costs, and construction management fees and for these purposes all of such costs shall be included in each reference to costs of the Tenant Improvements” or to similar phrases. In the event that the costs of the Tenant Improvements are less than the Tenant Improvement Allowance, the cost savings shall belong to Landlord and Tenant shall not be entitled to any payment, refund, credit or reduction in Basic Rent or other charges due under the Lease. If the costs of the Tenant Improvements exceed the Tenant Improvement Allowance, Tenant shall have the right to require Landlord to pay up to an additional $6.00 per square foot of the Floor Area of the Demised Premises for the costs of the Tenant Improvements, as an addition to the Tenant Improvement Allowance. Such additional contribution by Landlord to the Tenant Improvement Allowance shall be reimbursed by Tenant by increasing the Basic Rent by a monthly amount determined by amortizing such additional amount at an interest rate of eight percent (8%) per annum over the Lease Term. In such event, Landlord and Tenant shall enter into an amendment to the Lease memorializing the increase in the Tenant Improvement Allowance and the Basic Rent. Tenant agrees to provide notice to Landlord upon execution of this Lease, if Tenant desires to exercise its right to such additional contribution.",ti-allowance
"Disbursement of Tenant Improvement Allowance Landlord shall provide to Tenant a tenant improvement allowance (the “TI Allowance”) of $15 per rentable square foot of the Premises, or $128,415 in the aggregate. The TI Allowance shall be disbursed in accordance with this Work Letter. Tenant shall have no right to the use or benefit (including any reduction to or payment of Base Rent) of any portion of the TI Allowance not required for the construction of (i) the Tenant Improvements described in the TI Construction Drawings approved pursuant to Section 2(d), (ii) any Changes pursuant to Section 4, or (iii) the installation of Tenant’s signage on the Monument Sign.",ti-allowance
"(a) In addition to the Landlord Contribution and the Revolving Door Contribution, Landlord agrees to pay an amount up to [* * *] (the “Construction Allowance”) to be applied toward so-called “hard costs” to perform the Initial Work (including the GC Fees and the CM Fees), provided, however, if (A) the lowest responsible bid for the Initial Work does not exceed the Maximum Amount, and (B) the aggregate amount of Soft Costs incurred in connection with the Initial Work exceeds the Soft Cost Cap, then a portion of the Construction Allowance, in an amount not to exceed [* * *], may be used towards Soft Costs (the “Excess Soft Costs Cap”), in which event, (i) Tenant shall be reimbursed for such Soft Costs in accordance with the provisions of Section 46.D(5) above, in an amount not to exceed the Excess Soft Costs Cap, and (ii) the Maximum Amount shall be reduced by the amount of Soft Costs paid from the Construction Allowance.",ti-allowance
<strong>Tenant Improvement</strong> Allowance Lessee takes all existing units in it's as-is condition and no improvements required now.,ti-allowance
Tenant Improvement Plans Upon all parties exxxxxxxx this Lease Agreement Landlord agrees to reinstall glass doors in elevator corridor on the fifth floor.,ti-allowance
"Construction of the Tenant Improvements Pursuant to the terms of Exhibit F attached hereto and made a part hereof, Landlord shall provide a construction allowance to Tenant in an amount equal to, but not exceeding, the Tenant Improvement Allowance for the reimbursement of the cost of Tenant Work for the construction of Tenant Improvements. Tenant shall have until the Tenant Improvement Allowance Deadline to request disbursement of the Tenant Improvement Allowance. Tenant shall not request more than one (1) disbursement of the Tenant Improvement Allowance per calendar month. Notwithstanding anything in this Lease to the contrary Landlord shall have no obligation to disburse any portion of the Tenant Improvement Allowance if (a) an uncured Event of Default exists or (b) Tenant has failed to comply with all requirements of Exhibit F. Any equipment or machinery, the cost of which is reimbursed by disbursement of any Tenant Improvement Allowance, shall become the property of Landlord on the Expiration Date or the date of any earlier termination of the Term unless, whether or not such equipment or machinery is affixed to the Premises unless Landlord delivers written notice to Tenant of its intent not to take ownership of all or any portion of such equipment or machinery, in which case Tenant shall cause the same to be removed from the Premises, at Tenant’s sole cost and expense. EXHIBIT E GUARANTY AGREEMENT See attached.",ti-allowance
"improvement-allowance Landlord’s contribution to the cost of Tenant Improvements (including architectural, engineering, permitting and space planning fees), which maximum shall not exceed One Million One Hundred Fifty-Eight Thousand Five Hundred Twenty Dollars ($1,158,520.00).",ti-allowance
"isolation-allowance As an inducement for Tenant to execute this lease and prepare the demised premises for Tenant’s occupancy, Landlord shall pay to Tenant the sum of 197,225.00 for Tenant’s work in the office space comprising part of the demised premises; $30,000.00 for Tenant’s work on the warehouse bathrooms; $80,000.00 for Tenant’s Work on the sprinkler system; and $70,000.00 for Tenant’s Work on the warehouse heating system. In addition, Landlord shall pay to Tenant an additional $5,000.00 in the event Tenant installs its own floor covering in the 600 square foot lobby. So long as Tenant shall not then be in default in the performance of its agreements contained in this lease, Landlord shall pay said sums to Tenant upon the last to occur of: (a) the thirtieth (30th) day after the Tenant’s architect certifies that Tenant’s Work has been substantially completed; and (b) the receipt by Landlord of waivers of liens from all contractors supplying labor and/or material for Tenant’s work. In the event Landlord fails to pay said allowance to Tenant within thirty (30) days after notice from Tenant that same is past due, Tenant may offset the amount of said allowance that remains unpaid, together with interest on the unpaid sum at the Default Rate (as defined below), from fifty percent (50%) of the monthly fixed rent thereafter payable by Tenant until paid in full. This shall be Tenant’s sole remedy for Landlord’s failure to pay said construction allowance.",ti-allowance
"Tenant Improvements Tenant agrees and acknowledges that Landlord shall provide the Expansion Space in its ""as-is"" condition with existing paint and carpet. Tenant may, at its own cost, construct any interior improvements or alterations within the Expansion Space, subject to Landlord's prior written approval, which shall not be unreasonably withheld. Notwithstanding the foregoing, in connection with the construction of such approved interior improvements or alterations in the Expansion Space (the ""Expansion Space Tenant Improvements""), Landlord shall provide an amount not to exceed $93,384.00 (the ""Expansion Space Tenant Improvement Allowance""), on the terms and conditions set forth below. The Expansion Space Tenant Improvement Allowance shall be used only for the costs and expenses incurred in connection with materials, construction and installation of the standard interior improvements within the Expansion Space (the ""Expansion Space Tenant Improvement Costs""). None of the Expansion Space Tenant Improvement Allowance shall be used for specialized improvements, cabling, equipment or trade fixtures. Tenant shall submit written requests to Landlord for disbursement out of the Expansion Space Tenant Improvement Allowance. Such requests shall be accompanied by invoices or other evidence reasonably satisfactory to Landlord showing that the expenses are part of the Expansion Space Tenant Improvement Costs. Any portion of the Expansion Space Tenant Improvement Allowance which is not requested by Tenant prior to February 29, 2000 shall be forfeited (i.e., the unused shall not be applied against rent or other obligations of Tenant under the Lease).",ti-allowance
"Disbursement of Tenant Improvement Allowance Landlord and Tenant acknowledge that the Base Annual Rent (as set forth in paragraph 4 below) has been computed based on Landlord’s allowance of $15.00 per square foot of Rentable Area in the Second Expansion Premises (the “Allowance”) toward the cost of the leasehold improvements to the Second Expansion Premises, as more specifically described on Rider 1 attached hereto.",ti-allowance
