task_id,text
126,"In the event that discussions relating to a possible Transaction cease
for any reason, each party shall (a) within ten (10) days return, and cause its
Representatives to return, to the other party all copies of any Confidential
Information received from the other party, (b) destroy all notes, compilations
and analyses with respect to, based upon or derived from such Confidential
Information, and confirm such destruction to the other party in writing, (c) not
make any other use of such Confidential Information, and (d) not provide such
Confidential Information to any other person or entity for any purpose, except
as required by law"
126,"In the event that either party or any of its Representatives is
required or becomes legally compelled (by oral questions, interrogatories,
request for information or documents, subpoena, regulatory inquiry, criminal or
civil investigative demand or similar process, or otherwise) to disclose any
Confidential Information of the other party, such party will provide the other
party with prompt written notice so that the other party may seek a protective
order or other appropriate remedy and/or waive compliance with the provisions of
this Agreement.  The other party shall promptly advise the first party of the
action it intends to take.  In the event no such protective order or other
remedy is obtained, or that the other party waives compliance with the terms of
this Agreement, such party will furnish only that portion of the Confidential
Information which (based on the advice of counsel) is legally required, and will
exercise its best efforts to obtain confidential treatment for such Confidential
Information from the person, regulatory authority or other entity to whom it is
disclosed"
126,"Each party understands and agrees that, because of the unique nature
of the Confidential Information, URS, Dames & Xxxxx or third parties will suffer
immediate, irreparable harm in the event a party fails to comply with any of the
obligations in this Agreement and that monetary damages will be inadequate to
compensate the other party for such breach.  Accordingly, each party agrees that
the other party will be entitled, in addition to any other remedies available to
it at law or in equity, to injunctive relief to enforce the terms of this
Agreement"
126,"The
interpretation and performance of this Agreement shall be governed by the law of
the State of California"
1729,"The parties (a) hereby irrevocably and unconditionally submit to the jurisdiction of the state courts of Delaware and to the jurisdiction of the United States District Court for the District of Delaware for the purpose of any suit, action or other proceeding arising out of or based upon this Agreement, (b) agree not to commence any suit, action or other proceeding arising out of or based upon this Agreement except in the state courts of Delaware or the United States District Court for the District of Delaware, and (c) hereby waive, and agree not to assert, by way of motion, as a defense, or otherwise, in any such suit, action or proceeding, any claim that it is not subject personally to the jurisdiction of the above-named courts, that its property is exempt or immune from attachment or execution, that the suit, action or proceeding is brought in an inconvenient forum, that the venue of the suit, action or proceeding is improper or that this Agreement or the subject matter hereof may not be enforced in or by such court"
65,"THIS Second Amendment (this “Amendment”) is made as of September 12, 2019 to that certain
CONFIDENTIALITY AGREEMENT, dated as of February 8, 2019, made by and among Apogee Enterprises, Inc., a Minnesota corporation (the “Company”) and Engaged Capital LLC, Engaged Capital Flagship Master Fund, LP, Engaged Capital Co-Invest VIII, LP, Engaged Capital Flagship Fund, LP, Engaged Capital Flagship Fund, Ltd., Engaged Capital Holdings, LLC and Xxxxx X. Xxxxxxx (collectively, “Engaged Capital”), as first amended on
August 5, 2019 (the “Confidentiality Agreement”"
1822,"The recipient shall not, during the term of this agreement and for a period of 4 years following its termination, use any confidential information to solicit or service any customers or clients of the disclosing party in the field of finance in Russia."
117,"THIS CONFIDENTIALITY AGREEMENT is made and entered into as of the 6th day
of April, 2016, by and between Coca-Cola Bottling Co. Consolidated (“Bottler”) and THE COCA-COLA COMPANY, a Delaware corporation, by and through its Coca-Cola North America division (“KO”)"
117,"KO has requested that Bottler allow KO access to certain of Bottler’
data systems to obtain nonpublic information concerning sales of beverages by Bottler and its affiliates in North America, including its commonwealths, territories and possessions. This information will include (without limitation) the identity of
individual accounts and show all products sold under license from KO, sales volume, invoice prices, allowances and discounts. The information described in the preceding sentence is referred to in this Agreement as the “Confidential
Information.”"
117,"Bottler is willing to and agrees to allow certain
KO employees to have such access to the Confidential Information, provided that KO and KO employee serving as Vice President, Coca-Cola North America Franchise & Commercial Leadership Finance or such position with comparable
responsibilities (“Employee”) agree to the restrictions on the use and disclosure of the Confidential Information as provided in this Agreement"
117,"Non-disclosure. KO agrees, and agrees to cause the
Employee, to use the Confidential Information only for the internal purposes of KO, and, except as permitted by Section 5 of this Agreement, shall make no disclosure whatsoever of any Confidential Information"
117,"Restricted Access. KO agrees, and agrees to cause Employee, to
restrict access to the Confidential Information (in any form) only to other KO employees meeting all of the following criteria: (a) the KO employee has a need to know this information; and (b) the KO employee has been approved by an
authorized KO official (i.e., above Director level) to have access to the Confidential Information"
117,"Exclusions from
Confidential Information. The following information shall not be considered as “Confidential Information” under this Agreement: 
    (a)     Information which is, or subsequently may become,
generally available to the public as a matter of record through no fault of KO or the Employee; 
    (b)     Information which KO can show was previously known to it
as a matter of record at the time of receipt;      (c)
    Information which may subsequently be obtained from a third party (i) who received the information lawfully and from a disclosing party who was under no duty to keep such information confidential; and (ii) who
obtained the information through no fault of KO or the Employee;      (d)
    Information which may subsequently be developed by KO or the Employee independently of any disclosure of Confidential Information from Bottler hereunder; 
    (e)     Information which is required to be disclosed pursuant to
the requirement of a government agency or by operation of law, subsequent to prior consultation with Bottler’ legal counsel"
117,"Termination. Either party may terminate this Agreement for any
reason by giving not less than ninety (90) days prior written notice"
300,"No Assignment. This Agreement may not be assigned or transferred by either party without the prior written consent of the other party, except in the case of a sale of all or
substantially all of the assets, stock or business of such party."
132,"Confidentiality Agreement among Austin Ventures, Marathon Partners, L.P. and the Issuer

 

 

February 11, 2003



 
 
 


Austin Ventures VII, X.X.
 
 


Xxxxxx Ventures, VIII, L.P.
 

Marathon Partners, LP


000 Xxxx 0xx Xxxxxx
 

00 Xxxxxxxxxx Xxxxxx, 0xx Xxxxx


Xxxxxx, XX 00000
 

Xxx Xxxx, XX 00000"
132,"In connection with a possible transaction (“Proposed Transaction”)
between Xxxxxx’x, Inc., a Delaware corporation (“Xxxxxx’x”) and Austin Ventures
VII, L.P. and Austin Ventures VIII, L.P. ( collectively, “AV”) and Marathon
Partners, LP (“Marathon”) (collectively” AVM”), each of AVM and Xxxxxx’x may
deliver to each other, upon the execution and delivery of this letter agreement,
certain information about its respective properties, employees, finances,
business and operations (such party when disclosing such information being the
“Disclosing Party” and when receiving such information being the “Receiving
Party”)"
132,"In connection with a possible transaction (“Proposed Transaction”)
between Xxxxxx’x, Inc., a Delaware corporation (“Xxxxxx’x”) and Austin Ventures
VII, L.P. and Austin Ventures VIII, L.P. ( collectively, “AV”) and Marathon
Partners, LP (“Marathon”) (collectively” AVM”)"
132,"Proprietary Information shall not include, however,
information which (i) is or becomes generally available to the public other than
as a result of a disclosure by the Receiving Party or its Representatives in
violation of this letter agreement; (ii) was available to the Receiving Party on
a nonconfidential basis prior to its disclosure by the Disclosing Party or its
Representatives; (iii) becomes available to the Receiving Party on a
nonconfidential basis from a person other than the Disclosing Party or its
Representatives who is not known by the Receiving Party to be (a) bound by a
confidentiality agreement with the Disclosing Party or any of its
Representatives or (b) under an obligation to the Disclosing Party or any of its
Representatives not to transmit the information to the Receiving Party; or (iv)
was independently developed by the Receiving Party without reference to or use
of any of the Proprietary Information"
132,"AVM agrees that neither it nor any of its Representatives will at any
time from the date of this letter agreement until 12 months following such date,
directly or indirectly, solicit for employment any employee of Xxxxxx’x;
provided, however, that the foregoing provision will not prevent AVM or its
affiliates from employing any such person who contacts such party or its
affiliates on his or her own initiative without any direct or indirect
solicitation by or encouragement from the employing party or its affiliates, or
who has been terminated by Xxxxxx’x prior to initial contact by AVM"
132,"Without prejudice to the rights and remedies otherwise available to
either party hereto, each party hereto shall be entitled to equitable relief by
way of injunction or otherwise if the other party or any of its Representatives
breach or threaten to breach any of the provisions of this letter agreement. In
the event of litigation relating to this letter agreement, if a court of
competent jurisdiction determines in a final order from which there is no appeal
that this letter agreement has been breached by a party or by its
Representatives, the breaching party or the party whose Representatives have
breached this Agreement, as the case may be, will reimburse the other party for
its costs and expenses (including, without limitation, legal fees and expenses)
incurred in connection with the enforcement of this letter agreement and such
litigation"
132,"This letter agreement shall be governed by and construed in accordance
with the Jaws of the State of New York, without giving effect to its principles
or rules regarding conflicts of laws, other than such principles directing
application of New York law"
1887,Any disputes arising out of or related to this Agreement shall be resolved through mediation. The parties agree to appoint a mutually agreed-upon mediator and to participate in good faith in the mediation process. The parties agree to maintain the confidentiality of the mediation proceedings and the terms of any settlement reached through mediation
21,"CONFIDENTIALITY AGREEMENT

        This Confidentiality Agreement (this ""Agreement"") is dated effective as
of the 4th day of June, 2001, between Amerada Xxxx Corporation, a Delaware
corporation (""AHC""), and Triton Energy Limited, a Cayman Islands company (the
""Company"
21,"1.      AHC and the Company intend to engage in discussions and possibly
in negotiations concerning a possible transaction between them (the ""Proposed
Transaction""). In the course of such discussions and negotiations, it is
anticipated that either party may disclose or deliver to the other party and
their respective Representatives (as defined below) certain information which is
non-public, confidential and/or proprietary in nature for the purpose of
enabling the other party to evaluate the feasibility of such a Proposed
Transaction. The parties have entered into this Agreement, among other reasons,
in order to assure the confidentiality of such non-public, confidential or
proprietary information in accordance with the terms of this Agreement. As used
in this Agreement, the party disclosing ""Evaluation Material"" (as defined below)
is referred to as the ""Disclosing Party"" and the party receiving such Evaluation
Material is referred to as the ""Recipient"
21,"c)     This Agreement shall be construed and interpreted in
accordance with the substantive laws (but not the rules governing conflicts of
laws) of the State of New York. Each party, on its behalf and on behalf of its
Representatives, irrevocably and unconditionally consents to submit to the
jurisdiction of the courts of the United States of America located in the State
of Texas for any actions, suits or proceedings arising out of or relating to
this Agreement (and each party agrees not to commence any action, suit or
proceeding relating thereto except in such courts), and further agrees that
service of any process, summons, notice or document by U.S. registered mail to
the address set forth below shall be effective service of process for any
action, suit or proceeding brought in any such court. Each party hereby
irrevocably and unconditionally waives any objection to the laying of venue of
any action, suit or proceeding arising out of this Agreement, in the courts of
the United States of America located in the State of Texas, and hereby further
irrevocably and unconditionally waives and agrees not to plead or claim in any
such court that any such action, suit or proceeding brought in any such court
has been brought in an inconvenient forum"
21,"e)     All obligations under this Agreement, if not sooner
terminated, shall terminate on the third anniversary of the date of this
Agreement"
21,"The provisions of this Agreement are necessary for the
protection of the business and goodwill of the parties and are considered by the
parties to be reasonable for such purpose. The Recipient agrees that any breach
of this Agreement will cause the Disclosing Party substantial and irreparable
damages and, therefore, in the event of any such breach, in addition to other
remedies which may be available, the Disclosing Party shall have the right to
specific performance, injunctive and other equitable relief and in connection
therewith, the Recipient and its Representatives shall waive any requirement for
the securing or posting of any bond"
21,"This Agreement will be binding upon and inure to the
benefit of the parties hereto and their respective heirs, successors and
assigns, including without limitation, any person acquiring a majority of the
outstanding of equity securities of any such party"
21,"This Confidentiality Agreement (this ""Agreement"") is dated effective as
of the 4th day of June, 2001, between Amerada Xxxx Corporation, a Delaware
corporation (""AHC""), and Triton Energy Limited, a Cayman Islands company (the
""Company"")"
21,"AHC and the Company intend to engage in discussions and possibly
in negotiations concerning a possible transaction between them (the ""Proposed
Transaction""). In the course of such discussions and negotiations, it is
anticipated that either party may disclose or deliver to the other party and
their respective Representatives (as defined below) certain information which is
non-public, confidential and/or proprietary in nature for the purpose of
enabling the other party to evaluate the feasibility of such a Proposed
Transaction. The parties have entered into this Agreement, among other reasons,
in order to assure the confidentiality of such non-public, confidential or
proprietary information in accordance with the terms of this Agreement"
21,"For the purpose of this Agreement, the term ""Evaluation
Material"" shall mean any information, data and knowledge concerning the
Disclosing Party, regardless of form, which is delivered or disclosed by or on
behalf of the Disclosing Party to the Recipient in writing, orally or through
visual means, or which the Recipient learns or obtains orally, through
observation, or through analysis of such information, data or knowledge in
connection with the Recipient's consideration of the Proposed Transaction"
21,"The
term ""Evaluation Material"" does not include any information which (a) was
already known to the Recipient on a non-confidential basis prior to its being
furnished by or on behalf of the Disclosing Party, provided that the source of
such information was not bound by a written confidentiality agreement with or
other contractual, legal or fiduciary obligation to, the Disclosing Party; (b)
is now or hereafter becomes generally available to the public other than as a
result of a disclosure in breach of this Agreement (or another written
confidentiality agreement between the Company or any of its subsidiaries and AHC
or any of its subsidiaries) by the Recipient or its Representatives (as defined
below); (c) was or becomes available to the Recipient on a non-confidential
basis from a source other than the Disclosing Party, or its Representatives,
provided that such source is not bound by a confidentiality agreement with the
Disclosing Party; or (d) is independently developed by the Recipient without
violating any of its obligations under this Agreement (or another written
confidentiality agreement between the Company or any of its subsidiaries and AHC
or any of its subsidiaries )"
21,"All Evaluation Material will be used solely for the purpose of
evaluating the Proposed Transaction. Such Evaluation Material will be kept
strictly confidential by the Recipient and those of its directors, officers,
employees, counsel, affiliates, agents, auditors, accountants or other advisors
to whom disclosure is necessary for the purpose of such an evaluation
(collectively referred to as the ""Representatives""), it being understood that
these Representatives will be informed of the confidential nature of the
Evaluation Material and will agree to be bound by this Agreement and not to
disclose the Evaluation Material to any other individual or person. Furthermore,
each party and its Representatives will exercise the same

   2


standard of care (which standard shall in any event be reasonable) to prevent
the unauthorized disclosure or unauthorized use of the Evaluation Material and
information referenced in paragraph 6 below as such party exercises to prevent
the unauthorized disclosure or unauthorized use of its own proprietary
information (the ""Standard of Care""); provided that neither party nor its
Representatives shall be liable to the other party for any unauthorized use or
unauthorized disclosure of the Evaluation Material or such information to the
extent that the Standard of Care is exercised with respect thereto"
21,"In the event that the Recipient or any of its Representatives
becomes legally compelled (by deposition, interrogatory, request for documents,
subpoena, civil investigative demand, other demand or request by governmental
agency or if a party determines the application of statutes, rules and
regulations under the federal securities laws or similar process requires
disclosure) to disclose any of the Evaluation Material, the Recipient or such
Representative shall provide the Disclosing Party with prompt prior written
notice of such requirement prior to such disclosure and will cooperate fully
with the Disclosing Party should the Disclosing Party seek a protective order or
other relief. In the event that a protective order or other remedy (including a
waiver from the Disclosing Party) is not obtained, or that the Disclosing Party
waives in writing compliance with the provisions hereof, the Recipient or
Representative, as applicable, may furnish only that portion of the Evaluation
Material that the Recipient or Representative is advised by written opinion of
counsel is legally required to furnish and the Recipient or Representative, as
applicable, will exercise all reasonable efforts to obtain assurance that
confidential treatment will be accorded to such Evaluation Material"
21,"c)     This Agreement shall be construed and interpreted in
accordance with the substantive laws (but not the rules governing conflicts of
laws) of the State of New York. Each party, on its behalf and on behalf of its
Representatives, irrevocably and unconditionally consents to submit to the
jurisdiction of the courts of the United States of America located in the State
of Texas for any actions, suits or proceedings arising out of or relating to
this Agreement (and each party agrees not to commence any action, suit or
proceeding relating thereto except in such courts), and further agrees that
service of any process, summons, notice or document by U.S. registered mail to
the address set forth below shall be effective service of process for any
action, suit or proceeding brought in any such court. Each party hereby
irrevocably and unconditionally waives any objection to the laying of venue of
any action, suit or proceeding arising out of this Agreement, in the courts of
the United States of America located in the State of Texas, and hereby further
irrevocably and unconditionally waives and agrees not to plead or claim in any
such court that any such action, suit or proceeding brought in any such court
has been brought in an inconvenient forum"
21,"e)     All obligations under this Agreement, if not sooner
terminated, shall terminate on the third anniversary of the date of this
Agreement"
21,"This Confidentiality Agreement (this ""Agreement"") is dated effective as
of the 4th day of June, 2001, between Amerada Xxxx Corporation, a Delaware
corporation (""AHC""), and Triton Energy Limited, a Cayman Islands company (the
""Company"")"
21,"AHC and the Company intend to engage in discussions and possibly
in negotiations concerning a possible transaction between them (the ""Proposed
Transaction""). In the course of such discussions and negotiations, it is
anticipated that either party may disclose or deliver to the other party and
their respective Representatives (as defined below) certain information which is
non-public, confidential and/or proprietary in nature for the purpose of
enabling the other party to evaluate the feasibility of such a Proposed
Transaction. The parties have entered into this Agreement, among other reasons,
in order to assure the confidentiality of such non-public, confidential or
proprietary information in accordance with the terms of this Agreement"
21,"For the purpose of this Agreement, the term ""Evaluation
Material"" shall mean any information, data and knowledge concerning the
Disclosing Party, regardless of form, which is delivered or disclosed by or on
behalf of the Disclosing Party to the Recipient in writing, orally or through
visual means, or which the Recipient learns or obtains orally, through
observation, or through analysis of such information, data or knowledge in
connection with the Recipient's consideration of the Proposed Transaction"
21,"The
term ""Evaluation Material"" does not include any information which (a) was
already known to the Recipient on a non-confidential basis prior to its being
furnished by or on behalf of the Disclosing Party, provided that the source of
such information was not bound by a written confidentiality agreement with or
other contractual, legal or fiduciary obligation to, the Disclosing Party; (b)
is now or hereafter becomes generally available to the public other than as a
result of a disclosure in breach of this Agreement (or another written
confidentiality agreement between the Company or any of its subsidiaries and AHC
or any of its subsidiaries) by the Recipient or its Representatives (as defined
below); (c) was or becomes available to the Recipient on a non-confidential
basis from a source other than the Disclosing Party, or its Representatives,
provided that such source is not bound by a confidentiality agreement with the
Disclosing Party; or (d) is independently developed by the Recipient without
violating any of its obligations under this Agreement (or another written
confidentiality agreement between the Company or any of its subsidiaries and AHC
or any of its subsidiaries )"
21,"All Evaluation Material will be used solely for the purpose of
evaluating the Proposed Transaction. Such Evaluation Material will be kept
strictly confidential by the Recipient and those of its directors, officers,
employees, counsel, affiliates, agents, auditors, accountants or other advisors
to whom disclosure is necessary for the purpose of such an evaluation
(collectively referred to as the ""Representatives""), it being understood that
these Representatives will be informed of the confidential nature of the
Evaluation Material and will agree to be bound by this Agreement and not to
disclose the Evaluation Material to any other individual or person. Furthermore,
each party and its Representatives will exercise the same

   2


standard of care (which standard shall in any event be reasonable) to prevent
the unauthorized disclosure or unauthorized use of the Evaluation Material and
information referenced in paragraph 6 below as such party exercises to prevent
the unauthorized disclosure or unauthorized use of its own proprietary
information (the ""Standard of Care""); provided that neither party nor its
Representatives shall be liable to the other party for any unauthorized use or
unauthorized disclosure of the Evaluation Material or such information to the
extent that the Standard of Care is exercised with respect thereto"
21,"In the event that the Recipient or any of its Representatives
becomes legally compelled (by deposition, interrogatory, request for documents,
subpoena, civil investigative demand, other demand or request by governmental
agency or if a party determines the application of statutes, rules and
regulations under the federal securities laws or similar process requires
disclosure) to disclose any of the Evaluation Material, the Recipient or such
Representative shall provide the Disclosing Party with prompt prior written
notice of such requirement prior to such disclosure and will cooperate fully
with the Disclosing Party should the Disclosing Party seek a protective order or
other relief. In the event that a protective order or other remedy (including a
waiver from the Disclosing Party) is not obtained, or that the Disclosing Party
waives in writing compliance with the provisions hereof, the Recipient or
Representative, as applicable, may furnish only that portion of the Evaluation
Material that the Recipient or Representative is advised by written opinion of
counsel is legally required to furnish and the Recipient or Representative, as
applicable, will exercise all reasonable efforts to obtain assurance that
confidential treatment will be accorded to such Evaluation Material"
280,"Successors and Assigns; No assignment.   This Agreement will be binding upon and inure to the benefit of each Party and its Representatives and their respective heirs, successors and assigns. This Agreement may not be assigned by any Party without the express prior written consent of the other Party."
1927,"This Agreement and the obligations hereunder shall terminate on the later of three (3) years after the effective date of this Agreement or Recipient's last date of service on the Board, if elected; provided that if Recipient is elected to the Board, Recipient may disclose or use such Proprietary Information to the extent, in the written opinion of counsel, such disclosure or use is required by applicable law or exchange listing requirements"
1830,"The recipient shall not, during the term of this agreement and for a period of 2 years following its termination, use any confidential information to solicit or service any customers or clients of the disclosing party in the field of real estate in the United Arab Emirates."
1691,Any disagreement or dispute arising from or in connection with this agreement shall be resolved by arbitration in Hong Kong in accordance with the Hong Kong International Arbitration Centre's rules
