text,firstCharEnt1,firstCharEnt2,lastCharEnt1,lastCharEnt2,chunk1,chunk2,label1,label2,rel,direction
"1

                   EXCLUSIVE DISTRIBUTOR AGREEMENT

     EXCLUSIVE DISTRIBUTOR AGREEMENT (""Agreement"") dated as April 15, 1994 by and between IMRS OPERATIONS INC. ",60,115,91,129,EXCLUSIVE DISTRIBUTOR AGREEMENT,"April 15, 1994",DOC,EFFDATE,dated_as,1
"Exhibit 10.1

STRATEGIC ALLIANCE AGREEMENT

THIS AGREEMENT dated for reference the 5th day of December 2008.

BETWEEN:

  GOLD RESOURCE CORPORATION, a company organized under the laws of the State of Colorado, with registered office located at 222 Milwaukee Street, Suite 301, Denver, CO 80206 (""GRC"" or ""the Company"")

AND:

  HOCHSCHILD MINING HOLDINGS LIMITED, a private limited company organized under the laws of England and Wales, with registered office located at 46 Albemarle Street, London, England W1S 4JL (""HOC"")

WHEREAS:

A. ",14,83,42,107,STRATEGIC ALLIANCE AGREEMENT,5th day of December 2008,DOC,EFFDATE,dated_as,1
"Exhibit 10.1

STRATEGIC ALLIANCE AGREEMENT

THIS AGREEMENT dated for reference the 5th day of December 2008.

BETWEEN:

  GOLD RESOURCE CORPORATION, a company organized under the laws of the State of Colorado, with registered office located at 222 Milwaukee Street, Suite 301, Denver, CO 80206 (""GRC"" or ""the Company"")

AND:

  HOCHSCHILD MINING HOLDINGS LIMITED, a private limited company organized under the laws of England and Wales, with registered office located at 46 Albemarle Street, London, England W1S 4JL (""HOC"")

WHEREAS:

A. ",14,122,42,147,STRATEGIC ALLIANCE AGREEMENT,GOLD RESOURCE CORPORATION,DOC,PARTY,signed_by,1
"Exhibit 10.1

STRATEGIC ALLIANCE AGREEMENT

THIS AGREEMENT dated for reference the 5th day of December 2008.

BETWEEN:

  GOLD RESOURCE CORPORATION, a company organized under the laws of the State of Colorado, with registered office located at 222 Milwaukee Street, Suite 301, Denver, CO 80206 (""GRC"" or ""the Company"")

AND:

  HOCHSCHILD MINING HOLDINGS LIMITED, a private limited company organized under the laws of England and Wales, with registered office located at 46 Albemarle Street, London, England W1S 4JL (""HOC"")

WHEREAS:

A. ",14,328,42,362,STRATEGIC ALLIANCE AGREEMENT,HOCHSCHILD MINING HOLDINGS LIMITED,DOC,PARTY,signed_by,1
"Exhibit 10.1

STRATEGIC ALLIANCE AGREEMENT

THIS AGREEMENT dated for reference the 5th day of December 2008.

BETWEEN:

  GOLD RESOURCE CORPORATION, a company organized under the laws of the State of Colorado, with registered office located at 222 Milwaukee Street, Suite 301, Denver, CO 80206 (""GRC"" or ""the Company"")

AND:

  HOCHSCHILD MINING HOLDINGS LIMITED, a private limited company organized under the laws of England and Wales, with registered office located at 46 Albemarle Street, London, England W1S 4JL (""HOC"")

WHEREAS:

A. ",122,296,147,299,GOLD RESOURCE CORPORATION,GRC,PARTY,ALIAS,has_alias,1
"Exhibit 10.1

STRATEGIC ALLIANCE AGREEMENT

THIS AGREEMENT dated for reference the 5th day of December 2008.

BETWEEN:

  GOLD RESOURCE CORPORATION, a company organized under the laws of the State of Colorado, with registered office located at 222 Milwaukee Street, Suite 301, Denver, CO 80206 (""GRC"" or ""the Company"")

AND:

  HOCHSCHILD MINING HOLDINGS LIMITED, a private limited company organized under the laws of England and Wales, with registered office located at 46 Albemarle Street, London, England W1S 4JL (""HOC"")

WHEREAS:

A. ",328,518,362,521,HOCHSCHILD MINING HOLDINGS LIMITED,HOC,PARTY,ALIAS,has_alias,1
"ENDORSEMENT AGREEMENT

THIS ENDORSEMENT AGREEMENT (the ""Agreement"") is dated as of this 14th day of November 2017 (""Effective Date""), by and between Eco Science Solutions, Inc. ",28,88,49,113,ENDORSEMENT AGREEMENT,14th day of November 2017,DOC,EFFDATE,dated_as,1
"ENDORSEMENT AGREEMENT

THIS ENDORSEMENT AGREEMENT (the ""Agreement"") is dated as of this 14th day of November 2017 (""Effective Date""), by and between Eco Science Solutions, Inc. ",28,149,49,175,ENDORSEMENT AGREEMENT,"Eco Science Solutions, Inc",DOC,PARTY,signed_by,1
"RESELLER AGREEMENT    This agreement (""Agreement"") dated as of January 11, 2011 (""Effective Date"") is between Diversinet Corp. ",0,63,18,79,RESELLER AGREEMENT,"January 11, 2011",DOC,EFFDATE,dated_as,1
"RESELLER AGREEMENT    This agreement (""Agreement"") dated as of January 11, 2011 (""Effective Date"") is between Diversinet Corp. ",0,110,18,125,RESELLER AGREEMENT,Diversinet Corp,DOC,PARTY,signed_by,1
"Exhibit 2.6

FINAL VERSION

FORM OF

MANUFACTURING AND SUPPLY AGREEMENT

BY AND BETWEEN

PFIZER INC.

AND

UPJOHN INC.

DATED AS OF [●]

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS Page 1.  DEFINITIONS 1

2.  SUPPLY OF PRODUCT 13

2.1   Agreement to Supply 13 2.2   Use of Facility, Equipment, Molds and Tooling 15 2.3   Capacity 15 2.4   Forecasts and Purchase Orders 16 2.5   Failure to Supply 19 2.6   Delivery; Risk of Loss 21 2.7   Procurement of Materials 22 2.8   Product Samples 23 2.9   Storage 23 2.10  Transitional Support 24

3.  PRICE; PAYMENT; PRICE ADJUSTMENTS; TAXES 26

3.1   Price 26 3.2   Price Adjustment 27 3.3   Cost Improvement 30 3.4   Price Review and Audit Procedure 31 3.5   Invoices and Payment 32 3.6   Taxes 33 3.7   No Duplicative Payments 35

4.  MANUFACTURING STANDARDS AND QUALITY ASSURANCE 35

4.1   Quality Agreement 35 4.2   Manufacturing Standards 35 4.3   Manufacturing Changes 35 4.4   Pest Control 36 4.5   Legal and Regulatory Filings and Requests 36 4.6   Quality Tests and Checks 37 4.7   Responsibility for Non-Complying Product 38 4.8   Rejection of Non-Complying Product 38 4.9   Disposal of Rejected and Non-Complying Product 40 4.10  Maintenance and Retention of Records 40 4.11  Government Inspections, Seizures and Recalls 40 4.12  Inspections 41 4.13  Segregation of Restricted Compounds 42 4.14  Packaging Material 43

5.  COVENANTS 43

5.1   Mutual Covenants 43 5.2   Manufacturer Covenants 44 5.3   Manufacturer's Social Responsibility 46 -ii-

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS (continued) Page 5.4   Notice of Material Events 46 5.5   Disclaimer of Warranties 47

6.  ENVIRONMENTAL COVENANTS 47

6.1   Compliance with Environmental Laws 47 6.2   Permits, Licenses and Authorization 47 6.3   Generation of Hazardous Wastes 48 6.4   Environmental Sustainability Information 48 6.5   Environmental and Health and Safety Reviews 48

7.  TERM; TERMINATION 49

7.1   Term of Agreement 49 7.2   Term of Facility Addendum 50 7.3   Termination for Cause 50 7.4   Termination for Disposition of Facility 50 7.5   Termination in Event of Insolvency 51 7.6   Termination for Breach of Anti-Bribery Representation 51 7.7   Termination for Convenience by Customer 52 7.8   Effect of Termination or Expiration 52 7.9   Unused Materials 53 7.10  Return of Materials, Tools and Equipment 54

8.  INTELLECTUAL PROPERTY 55

8.1   Customer's Intellectual Property 55 8.2   Improvements and Developments 55 8.3   Ownership of Other Property 56 8.4   Limited Right to Use 56

9.  JOINT ADVISORY COMMITTEE 56

9.1   Formation and Role 56 9.2   Membership; Chairs 57 9.3   Meetings 57 9.4   Areas of Responsibility 58 9.5   Advisory Role; No Decision-Making Authority 58

10.  INDEMNIFICATION; LIMITATIONS OF LIABILITY 58

10.1  Indemnification of Customer 58 10.2  Indemnification of Manufacturer 59 10.3  Indemnification Procedures 60 10.4  Limitations on Liability 62 10.5  Indemnification Obligations Net of Insurance Proceeds and Other Amounts 63 10.6  Additional Matters 64 -iii-

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS (continued) Page 11.  INSURANCE 65

11.1  Requirements to Maintain 65 11.2  Amounts and Limits 65

12.  CUSTOMER-SUPPLIED MATERIALS; BUY-SELL MATERIALS; TRANSITION 66

12.1  Supply; Rejection; Transition 66 12.2  Title and Risk of Loss 68 12.3  Reimbursement for Loss of Customer-Supplied Materials 68

13.  CONFIDENTIALITY 69

14.  SUPPLY CHAIN SECURITY 69

14.1  Supply Chain Representations 69 14.2  C-TPAT 69

15.  RECORDS AND AUDITS 70

15.1  Records 70 15.2  Audits 70

16.  NOTICES 71

17.  MISCELLANEOUS 71

17.1  Negotiations of Dispute 71 17.2  Publicity 72 17.3  Governing Law and Venue 72 17.4  Relationship of the Parties 73 17.5  Assignment; Binding Effect 73 17.6  Force Majeure 74 17.7  Severability 75 17.8  Non-Waiver; Remedies 75 17.9  Further Documents 75 17.10  Forms 75 17.11  Headings; Interpretation 76 17.12  Rules of Construction 77 17.13  Counterparts 77 17.14  Amendments 77 17.15  Entire Agreement 77 Attachment A Form of Facility Addendum Attachment B Quality Agreement Attachment C Monthly Inventory Report Attachment D Anti-Bribery and Anti-Corruption Principles Attachment E Policies Attachment F Example Product Materials Adjustment Calculation Attachment G Example Price Calculation of Volume Change Pricing Adjustment -iv-

Source: UPJOHN INC, 10-12G, 1/21/2020





MANUFACTURING AND SUPPLY AGREEMENT

THIS MANUFACTURING AND SUPPLY AGREEMENT (this ""Agreement""), dated as of [●] (the ""Effective Date""), is by and between Pfizer Inc., a Delaware corporation (hereinafter ""Manufacturer""), and Upjohn Inc., a Delaware corporation (hereinafter ""Customer""). ",37,89,71,99,MANUFACTURING AND SUPPLY AGREEMENT,PFIZER INC,DOC,PARTY,signed_by,1
"Exhibit 2.6

FINAL VERSION

FORM OF

MANUFACTURING AND SUPPLY AGREEMENT

BY AND BETWEEN

PFIZER INC.

AND

UPJOHN INC.

DATED AS OF [●]

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS Page 1.  DEFINITIONS 1

2.  SUPPLY OF PRODUCT 13

2.1   Agreement to Supply 13 2.2   Use of Facility, Equipment, Molds and Tooling 15 2.3   Capacity 15 2.4   Forecasts and Purchase Orders 16 2.5   Failure to Supply 19 2.6   Delivery; Risk of Loss 21 2.7   Procurement of Materials 22 2.8   Product Samples 23 2.9   Storage 23 2.10  Transitional Support 24

3.  PRICE; PAYMENT; PRICE ADJUSTMENTS; TAXES 26

3.1   Price 26 3.2   Price Adjustment 27 3.3   Cost Improvement 30 3.4   Price Review and Audit Procedure 31 3.5   Invoices and Payment 32 3.6   Taxes 33 3.7   No Duplicative Payments 35

4.  MANUFACTURING STANDARDS AND QUALITY ASSURANCE 35

4.1   Quality Agreement 35 4.2   Manufacturing Standards 35 4.3   Manufacturing Changes 35 4.4   Pest Control 36 4.5   Legal and Regulatory Filings and Requests 36 4.6   Quality Tests and Checks 37 4.7   Responsibility for Non-Complying Product 38 4.8   Rejection of Non-Complying Product 38 4.9   Disposal of Rejected and Non-Complying Product 40 4.10  Maintenance and Retention of Records 40 4.11  Government Inspections, Seizures and Recalls 40 4.12  Inspections 41 4.13  Segregation of Restricted Compounds 42 4.14  Packaging Material 43

5.  COVENANTS 43

5.1   Mutual Covenants 43 5.2   Manufacturer Covenants 44 5.3   Manufacturer's Social Responsibility 46 -ii-

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS (continued) Page 5.4   Notice of Material Events 46 5.5   Disclaimer of Warranties 47

6.  ENVIRONMENTAL COVENANTS 47

6.1   Compliance with Environmental Laws 47 6.2   Permits, Licenses and Authorization 47 6.3   Generation of Hazardous Wastes 48 6.4   Environmental Sustainability Information 48 6.5   Environmental and Health and Safety Reviews 48

7.  TERM; TERMINATION 49

7.1   Term of Agreement 49 7.2   Term of Facility Addendum 50 7.3   Termination for Cause 50 7.4   Termination for Disposition of Facility 50 7.5   Termination in Event of Insolvency 51 7.6   Termination for Breach of Anti-Bribery Representation 51 7.7   Termination for Convenience by Customer 52 7.8   Effect of Termination or Expiration 52 7.9   Unused Materials 53 7.10  Return of Materials, Tools and Equipment 54

8.  INTELLECTUAL PROPERTY 55

8.1   Customer's Intellectual Property 55 8.2   Improvements and Developments 55 8.3   Ownership of Other Property 56 8.4   Limited Right to Use 56

9.  JOINT ADVISORY COMMITTEE 56

9.1   Formation and Role 56 9.2   Membership; Chairs 57 9.3   Meetings 57 9.4   Areas of Responsibility 58 9.5   Advisory Role; No Decision-Making Authority 58

10.  INDEMNIFICATION; LIMITATIONS OF LIABILITY 58

10.1  Indemnification of Customer 58 10.2  Indemnification of Manufacturer 59 10.3  Indemnification Procedures 60 10.4  Limitations on Liability 62 10.5  Indemnification Obligations Net of Insurance Proceeds and Other Amounts 63 10.6  Additional Matters 64 -iii-

Source: UPJOHN INC, 10-12G, 1/21/2020





TABLE OF CONTENTS (continued) Page 11.  INSURANCE 65

11.1  Requirements to Maintain 65 11.2  Amounts and Limits 65

12.  CUSTOMER-SUPPLIED MATERIALS; BUY-SELL MATERIALS; TRANSITION 66

12.1  Supply; Rejection; Transition 66 12.2  Title and Risk of Loss 68 12.3  Reimbursement for Loss of Customer-Supplied Materials 68

13.  CONFIDENTIALITY 69

14.  SUPPLY CHAIN SECURITY 69

14.1  Supply Chain Representations 69 14.2  C-TPAT 69

15.  RECORDS AND AUDITS 70

15.1  Records 70 15.2  Audits 70

16.  NOTICES 71

17.  MISCELLANEOUS 71

17.1  Negotiations of Dispute 71 17.2  Publicity 72 17.3  Governing Law and Venue 72 17.4  Relationship of the Parties 73 17.5  Assignment; Binding Effect 73 17.6  Force Majeure 74 17.7  Severability 75 17.8  Non-Waiver; Remedies 75 17.9  Further Documents 75 17.10  Forms 75 17.11  Headings; Interpretation 76 17.12  Rules of Construction 77 17.13  Counterparts 77 17.14  Amendments 77 17.15  Entire Agreement 77 Attachment A Form of Facility Addendum Attachment B Quality Agreement Attachment C Monthly Inventory Report Attachment D Anti-Bribery and Anti-Corruption Principles Attachment E Policies Attachment F Example Product Materials Adjustment Calculation Attachment G Example Price Calculation of Volume Change Pricing Adjustment -iv-

Source: UPJOHN INC, 10-12G, 1/21/2020





MANUFACTURING AND SUPPLY AGREEMENT

THIS MANUFACTURING AND SUPPLY AGREEMENT (this ""Agreement""), dated as of [●] (the ""Effective Date""), is by and between Pfizer Inc., a Delaware corporation (hereinafter ""Manufacturer""), and Upjohn Inc., a Delaware corporation (hereinafter ""Customer""). ",37,107,71,117,MANUFACTURING AND SUPPLY AGREEMENT,UPJOHN INC,DOC,PARTY,signed_by,1
"Exhibit 2.01   Strategic Alliance Agreement   This agreement is made and entered into this 30th day of November, 2017 by and between Bravatek Solutions, Inc., a corporation organized under the laws of the State of Colorado, (""Bravatek""), with an address at 2028 E. ",15,91,43,117,Strategic Alliance Agreement,"30th day of November, 2017",DOC,EFFDATE,dated_as,1
"Exhibit 2.01   Strategic Alliance Agreement   This agreement is made and entered into this 30th day of November, 2017 by and between Bravatek Solutions, Inc., a corporation organized under the laws of the State of Colorado, (""Bravatek""), with an address at 2028 E. ",15,133,43,156,Strategic Alliance Agreement,"Bravatek Solutions, Inc",DOC,PARTY,signed_by,1
"Exhibit 2.01   Strategic Alliance Agreement   This agreement is made and entered into this 30th day of November, 2017 by and between Bravatek Solutions, Inc., a corporation organized under the laws of the State of Colorado, (""Bravatek""), with an address at 2028 E. ",133,226,156,234,"Bravatek Solutions, Inc",Bravatek,PARTY,ALIAS,has_alias,1
"Attachment B to Master Franchise Agreement   GUARANTEES OF MASTER FRANCHISE AGREEMENT   As   an   i nducemen t   t o  K iosk  Concep t s ,   I nc . ",59,118,85,145,MASTER FRANCHISE AGREEMENT,"K iosk  Concep t s ,   I nc",DOC,PARTY,signed_by,1
"  ( ""F ranch i so r "" )   t o   en t e r   i n to   a  Mas t e r  F r anch i s e  Agreemen t  w i th __N/A____________________ (""Master Franchisee"") dated __________________, 20____ (the "" Master Franchise Agreement""), ___________________________________ (""Guarantors""), jointly and severally agree as follows:   A. ",129,257,146,267,Master Franchisee,Guarantors,ROLE,ROLE,has_collective_alias,1
"  ( ""F ranch i so r "" )   t o   en t e r   i n to   a  Mas t e r  F r anch i s e  Agreemen t  w i th __N/A____________________ (""Master Franchisee"") dated __________________, 20____ (the "" Master Franchise Agreement""), ___________________________________ (""Guarantors""), jointly and severally agree as follows:   A. ",129,257,146,267,Master Franchisee,Guarantors,ROLE,ROLE,has_collective_alias,1
"  ( ""F ranch i so r "" )   t o   en t e r   i n to   a  Mas t e r  F r anch i s e  Agreemen t  w i th __N/A____________________ (""Master Franchisee"") dated __________________, 20____ (the "" Master Franchise Agreement""), ___________________________________ (""Guarantors""), jointly and severally agree as follows:   A. ",5,257,19,267,F ranch i so r,Guarantors,ROLE,ROLE,has_collective_alias,1
"  ( ""F ranch i so r "" )   t o   en t e r   i n to   a  Mas t e r  F r anch i s e  Agreemen t  w i th __N/A____________________ (""Master Franchisee"") dated __________________, 20____ (the "" Master Franchise Agreement""), ___________________________________ (""Guarantors""), jointly and severally agree as follows:   A. ",5,257,19,267,F ranch i so r,Guarantors,ROLE,ROLE,has_collective_alias,1
"    NETWORK AFFILIATE AGREEMENT     THIS NETWORK AFFILIATE AGREEMENT (this ""Agreement"") is made as of this 14th day of March, 2011 by and between National CineMedia,  LLC, a Delaware limited liability company (""NCM""), and Digital Cinema Destinations Corp., a Delaware corporation (""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""). ",41,107,68,130,NETWORK AFFILIATE AGREEMENT,"14th day of March, 2011",DOC,EFFDATE,dated_as,1
"    NETWORK AFFILIATE AGREEMENT     THIS NETWORK AFFILIATE AGREEMENT (this ""Agreement"") is made as of this 14th day of March, 2011 by and between National CineMedia,  LLC, a Delaware limited liability company (""NCM""), and Digital Cinema Destinations Corp., a Delaware corporation (""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""). ",41,146,68,170,NETWORK AFFILIATE AGREEMENT,"National CineMedia,  LLC",DOC,PARTY,signed_by,1
"    NETWORK AFFILIATE AGREEMENT     THIS NETWORK AFFILIATE AGREEMENT (this ""Agreement"") is made as of this 14th day of March, 2011 by and between National CineMedia,  LLC, a Delaware limited liability company (""NCM""), and Digital Cinema Destinations Corp., a Delaware corporation (""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""). ",41,222,68,254,NETWORK AFFILIATE AGREEMENT,Digital Cinema Destinations Corp,DOC,PARTY,signed_by,1
"    NETWORK AFFILIATE AGREEMENT     THIS NETWORK AFFILIATE AGREEMENT (this ""Agreement"") is made as of this 14th day of March, 2011 by and between National CineMedia,  LLC, a Delaware limited liability company (""NCM""), and Digital Cinema Destinations Corp., a Delaware corporation (""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""). ",146,211,170,214,"National CineMedia,  LLC",NCM,PARTY,ALIAS,has_alias,1
"EXHIBIT 10.71

May 04, 2017 Strategic Alliance Agreement This Strategic Alliance Agreement (this ""Agreement"") is entered into as of the 26t h day of May, 2017 (hereinafter referred to as the effective date of the Agreement), by and between Cool Technologies Inc.., a Nevada corporation (hereinafter referred to as ""COOL TECH""), and VETERAN TECHNOLOGY GROUP, LLC, a Missouri corporation (hereinafter referred to as ""VET TECH""). ",62,136,90,158,Strategic Alliance Agreement,"26t h day of May, 2017",DOC,EFFDATE,dated_as,1
"EXHIBIT 10.71

May 04, 2017 Strategic Alliance Agreement This Strategic Alliance Agreement (this ""Agreement"") is entered into as of the 26t h day of May, 2017 (hereinafter referred to as the effective date of the Agreement), by and between Cool Technologies Inc.., a Nevada corporation (hereinafter referred to as ""COOL TECH""), and VETERAN TECHNOLOGY GROUP, LLC, a Missouri corporation (hereinafter referred to as ""VET TECH""). ",62,240,90,261,Strategic Alliance Agreement,Cool Technologies Inc,DOC,PARTY,signed_by,1
"EXHIBIT 10.71

May 04, 2017 Strategic Alliance Agreement This Strategic Alliance Agreement (this ""Agreement"") is entered into as of the 26t h day of May, 2017 (hereinafter referred to as the effective date of the Agreement), by and between Cool Technologies Inc.., a Nevada corporation (hereinafter referred to as ""COOL TECH""), and VETERAN TECHNOLOGY GROUP, LLC, a Missouri corporation (hereinafter referred to as ""VET TECH""). ",62,332,90,361,Strategic Alliance Agreement,"VETERAN TECHNOLOGY GROUP, LLC",DOC,PARTY,signed_by,1
"EXHIBIT 10.71

May 04, 2017 Strategic Alliance Agreement This Strategic Alliance Agreement (this ""Agreement"") is entered into as of the 26t h day of May, 2017 (hereinafter referred to as the effective date of the Agreement), by and between Cool Technologies Inc.., a Nevada corporation (hereinafter referred to as ""COOL TECH""), and VETERAN TECHNOLOGY GROUP, LLC, a Missouri corporation (hereinafter referred to as ""VET TECH""). ",240,315,261,324,Cool Technologies Inc,COOL TECH,PARTY,ALIAS,has_alias,1
"EXHIBIT 10.71

May 04, 2017 Strategic Alliance Agreement This Strategic Alliance Agreement (this ""Agreement"") is entered into as of the 26t h day of May, 2017 (hereinafter referred to as the effective date of the Agreement), by and between Cool Technologies Inc.., a Nevada corporation (hereinafter referred to as ""COOL TECH""), and VETERAN TECHNOLOGY GROUP, LLC, a Missouri corporation (hereinafter referred to as ""VET TECH""). ",332,415,361,423,"VETERAN TECHNOLOGY GROUP, LLC",VET TECH,PARTY,ALIAS,has_alias,1
"2 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Second Amendment (""Second Amendment""), entered into by and between Stremick's Heritage Foods, LLC, (""Heritage""), Premier Nutrition Corporation (""Premier"") is effective as of October 1, 2018 (""Second Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 (""Agreement""). ",70,167,93,197,MANUFACTURING AGREEMENT,"Stremick's Heritage Foods, LLC",DOC,PARTY,signed_by,1
"2 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Second Amendment (""Second Amendment""), entered into by and between Stremick's Heritage Foods, LLC, (""Heritage""), Premier Nutrition Corporation (""Premier"") is effective as of October 1, 2018 (""Second Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 (""Agreement""). ",70,213,93,242,MANUFACTURING AGREEMENT,Premier Nutrition Corporation,DOC,PARTY,signed_by,1
"2 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Second Amendment (""Second Amendment""), entered into by and between Stremick's Heritage Foods, LLC, (""Heritage""), Premier Nutrition Corporation (""Premier"") is effective as of October 1, 2018 (""Second Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 (""Agreement""). ",70,274,93,289,MANUFACTURING AGREEMENT,"October 1, 2018",DOC,EFFDATE,dated_as,1
"2 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Second Amendment (""Second Amendment""), entered into by and between Stremick's Heritage Foods, LLC, (""Heritage""), Premier Nutrition Corporation (""Premier"") is effective as of October 1, 2018 (""Second Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 (""Agreement""). ",167,201,197,209,"Stremick's Heritage Foods, LLC",Heritage,PARTY,ALIAS,has_alias,1
"2 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Second Amendment (""Second Amendment""), entered into by and between Stremick's Heritage Foods, LLC, (""Heritage""), Premier Nutrition Corporation (""Premier"") is effective as of October 1, 2018 (""Second Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 (""Agreement""). ",213,245,242,252,Premier Nutrition Corporation,Premier,PARTY,ALIAS,has_alias,1
"3

Dated as of February 19, 2007

Reference is hereby made to that certain fully executed Wireless Content License Agreement Number 12965 dated as of December 16, 2004, as amended November 11, 2005 and March 27, 2006 (the ""Agreement""), between Fox Mobile Entertainment, Inc. ",15,90,32,124,"February 19, 2007",Wireless Content License Agreement,EFFDATE,DOC,dated_as,2
