labels,description,ner_oncology,ner_oncology_anatomy_general,ner_oncology_anatomy_general_healthcare,ner_oncology_anatomy_granular,ner_oncology_biomarker,ner_oncology_biomarker_healthcare,ner_oncology_demographics,ner_oncology_diagnosis,ner_oncology_emb_clinical_large,ner_oncology_emb_clinical_medium,ner_oncology_limited_80p_for_benchmarks,ner_oncology_posology,ner_oncology_response_to_treatment,ner_oncology_test,ner_oncology_therapy,ner_oncology_tnm,ner_oncology_unspecific_posology,ner_oncology_unspecific_posology_healthcare
Histological_Type,"Histological variants or cancer subtypes, such as “papillary”, “clear cell” or “medullary”.",X,,,,,,,X,X,X,X,,,,,,,
Hormonal_Therapy,"Mentions of hormonal drugs used to treat cancer, or unspecific words such as “hormonal therapy”.",X,,,,,,,,X,X,X,,,,X,,,
Imaging_Test,"Imaging tests mentioned in texts, such as “chest CT scan”.",X,,,,,,,,X,X,X,,,X,,,,
Immunotherapy,"Mentions of immunotherapy drugs, or unspecific words such as “immunotherapy”.",X,,,,,,,,X,X,X,,,,X,,,
Invasion,"Mentions that refer to tumor invasion, such as “invasion” or “involvement”. Metastases or lymph node involvement are excluded from this category.",X,,,,,,,X,X,X,X,,,,,,,
Line_Of_Therapy,Explicit references to the line of therapy of an oncological therapy (e.g. “first-line treatment”).,X,,,,,,,,X,X,X,,X,,X,,,
Metastasis,Terms that indicate a metastatic disease. Anatomical references are not included in these extractions.,X,,,,,,,X,X,X,X,,,,,X,,
Oncogene,Mentions of genes that are implicated in the etiology of cancer.,X,,,,,,,,X,X,X,,,X,,,,
Pathology_Result,The findings of a biopsy from the pathology report that is not covered by another entity (e.g. “malignant ductal cells”).,X,,,,,,,X,X,X,X,,,,,,,
Pathology_Test,Mentions of biopsies or tests that use tissue samples.,X,,,,,,,,X,X,X,,,X,,,,
Performance_Status,"Mentions of performance status scores, such as ECOG and Karnofsky. The name of the score is extracted together with the result (e.g. “ECOG performance status of 4”).",X,,,,,,,X,X,X,X,,,,,,,
Race_Ethnicity,The race and ethnicity categories include racial and national origin or sociocultural groups.,X,,,,,,X,,X,X,X,,,,,,,
Radiotherapy,Terms that indicate the use of Radiotherapy.,X,,,,,,,,X,X,X,X,,,X,,,
Response_To_Treatment,"Terms related to clinical progress of the patient related to cancer treatment, including “recurrence”, “bad response” or “improvement”.",X,,,,,,,,X,X,X,,X,,X,,,
Relative_Date,Temporal references that are relative to the date of the text or to any other specific date (e.g. “yesterday” or “three years later”).,X,,,,,,,,X,X,X,,,,,,,
Route,Words indicating the type of administration route (such as “PO” or “transdermal”).,X,,,,,,,,X,X,X,X,,,X,,,
Site_Bone,Anatomical terms that refer to the human skeleton.,X,,,X,,,,,X,X,X,,,,,,,
Site_Brain,Anatomical terms that refer to the central nervous system (including the brain stem and the cerebellum).,X,,,X,,,,,X,X,X,,,,,,,
Site_Breast,Anatomical terms that refer to the breasts.,X,,,X,,,,,X,X,X,,,,,,,
Site_Liver,Anatomical terms that refer to the liver.,X,,,X,,,,,X,X,X,,,,,,,
Site_Lung,Anatomical terms that refer to the lungs.,X,,,X,,,,,X,X,X,,,,,,,
Site_Lymph_Node,"Anatomical terms that refer to lymph nodes, excluding adenopathies.",X,,,X,,,,,X,X,X,,,,,,,
Site_Other_Body_Part,Relevant anatomical terms that are not included in the rest of the anatomical entities.,X,,,X,,,,,X,X,X,,,,,,,
Smoking_Status,All mentions of smoking related to the patient or to someone else.,X,,,,,,X,,X,X,X,,,,,,,
Staging,"Mentions of cancer stage such as “stage 2b” or “T2N1M0”. It also includes words such as “in situ”, “early-stage” or “advanced”.",X,,,,,,,X,X,X,X,,,,,X,,
Targeted_Therapy,"Mentions of targeted therapy drugs, or unspecific words such as “targeted therapy”.",X,,,,,,,,X,X,X,,,,X,,,
Tumor_Finding,"All nonspecific terms that may be related to tumors, either malignant or benign (for example: “mass”, “tumor”, “lesion”, or “neoplasm”).",X,,,,,,,X,X,X,X,,,,,,,
Tumor_Size,"Size of the tumor, including numerical value and unit of measurement (e.g. “3 cm”).",X,,,,,,,X,X,X,X,,,,,,,
Unspecific_Therapy,Terms that indicate a known cancer therapy but that is not specific to any other therapy entity (e.g. “chemoradiotherapy” or “adjuvant therapy”).,X,,,,,,,,X,X,X,,,,X,,,
Radiation_Dose,Dose used in radiotherapy.,X,,,,,,,,X,X,X,X,,,X,,,
Anatomical_Site,Relevant anatomical terms mentioned in text.,,X,X,,,,,,,,,,,,,,,
Cancer_Therapy,"Mentions of cancer treatments, including chemotherapy, radiotherapy, surgery and other.",,,,,,,,,,,,X,,,,,X,X
Size_Trend,Terms related to the changes in the size of the tumor (such as “growth” or “reduced in size”).,,,,,,,,,,,,,X,,,,,
Lymph_Node,Mentions of lymph nodes and pathological findings of the lymph nodes.,,,,,,,,,,,,,,,,X,,
Tumor_Description," Information related to tumor characteristics, such as size, presence of invasion, grade and hystological type.",,,,,,,,,,,,,,,,X,,
Tumor,"All nonspecific terms that may be related to tumors, either malignant or benign (for example: “mass”, “tumor”, “lesion”, or “neoplasm”).",,,,,,,,,,,,,,,,X,,
Lymph_Node_Modifier,Words that refer to a lymph node being abnormal (such as “enlargement”).,,,,,,,,,,,,,,,,X,,
Posology_Information,"Terms related to the posology of the treatment, including duration, frequencies and dosage.",,,,,,,,,,,,,,,,,X,X
