,pubmed_id,abstract,pubdate,title,fulljournalname
10,PMC6364380,"The alteration of water balance and related disorders has emerged as being strictly linked to the state of activation of the vasopressin–aquaporin-2 (vasopressin–AQP2) pathway. The lack of responsiveness of the kidney to the vasopressin action impairs its ability to concentrate the urine, resulting in polyuria, polydipsia, and risk of severe dehydration for patients. Conversely, non-osmotic release of vasopressin is associated with an increase in water permeability in the renal collecting duct, producing water retention and increasing the circulatory blood volume. This review highlights some of the new insights and recent advances in therapeutic intervention targeting the dysfunctions in the vasopressin–AQP2 pathway causing diseases characterized by water balance disorders such as congenital nephrogenic diabetes insipidus, syndrome of inappropriate antidiuretic hormone secretion, nephrogenic syndrome of inappropriate antidiuresis, and autosomal dominant polycystic kidney disease. The recent clinical data suggest that targeting the vasopressin–AQP2 axis can provide therapeutic benefits in patients with water balance disorders.",2019 Feb 4,Vasopressin–aquaporin-2 pathway: recent advances in understanding water balance disorders,F1000Research
11,PMC7404253,"Gestational diabetes mellitus (GDM), characterized by a transitory form of diabetes induced by insulin resistance and pancreatic β-cell dysfunction during pregnancy, has been identified as one of the major obstacles in achieving improved maternal and child health. Approximately 9–25% of pregnancies worldwide are impacted by the acute, long-term, and transgenerational health complications of this disease. Here, we discuss how GDM affects longstanding maternal and neonatal outcomes, as well as health risks that likely persist into future generations. In addition to the current challenges in the management and diagnosis of and the complications associated with GDM, we discuss current preclinical models of GDM to better understand the underlying pathophysiology of the disease and the timely need to increase our scientific toolbox to identify strategies to prevent and treat GDM, thereby advancing clinical care.",2020 Jul 15,Gestational Diabetes Mellitus: A Harbinger of the Vicious Cycle of Diabetes,International Journal of Molecular Sciences
12,PMC4975132,"In Colombia, diabetes mellitus is a public health program for those responsible for creating and implementing strategies for prevention, diagnosis, treatment, and follow-up that are applicable at all care levels, with the objective of establishing early and sustained control of diabetes. A clinical practice guide has been developed following the broad outline of the methodological guide from the Ministry of Health and Social Welfare, with the aim of systematically gathering scientific evidence and formulating recommendations using the GRADE (Grading of Recommendations Assessment, Development and Evaluation) methodology. The current document presents in summary form the results of this process, including the recommendations and the considerations taken into account in formulating them. In general terms, what is proposed here is a screening process using the Finnish Diabetes Risk Score questionnaire adapted to the Colombian population, which enables early diagnosis of the illness, and an algorithm for determining initial treatment that can be generalized to most patients with diabetes mellitus type 2 and that is simple to apply in a primary care context. In addition, several recommendations have been made to scale up pharmacological treatment in those patients that do not achieve the objectives or fail to maintain them during initial treatment. These recommendations also take into account the evolution of weight and the individualization of glycemic control goals for special populations. Finally, recommendations have been made for opportune detection of micro- and macrovascular complications of diabetes.",2016 Jun 30,"Clinical practice guideline for the prevention, early detection, diagnosis, management and follow up of type 2 diabetes mellitus in adults",Colombia Médica : CM
13,PMC6826500,"Type 2 diabetes mellitus (T2DM) and late-onset Alzheimer’s disease–dementia (LOAD) are increasing in global prevalence and current predictions indicate they will only increase over the coming decades. These increases may be a result of the concurrent increases of obesity and aging. T2DM is associated with cognitive impairments and metabolic factors, which increase the cellular vulnerability to develop an increased risk of age-related LOAD. This review addresses possible mechanisms due to obesity, aging, multiple intersections between T2DM and LOAD and mechanisms for the continuum of progression. Multiple ultrastructural images in female diabetic db/db models are utilized to demonstrate marked cellular remodeling changes of mural and glia cells and provide for the discussion of functional changes in T2DM. Throughout this review multiple endeavors to demonstrate how T2DM increases the vulnerability of the brain’s neurovascular unit (NVU), neuroglia and neurons are presented. Five major intersecting links are considered: i. Aging (chronic age-related diseases); ii. metabolic (hyperglycemia advanced glycation end products and its receptor (AGE/RAGE) interactions and hyperinsulinemia-insulin resistance (a linking linchpin); iii. oxidative stress (reactive oxygen–nitrogen species); iv. inflammation (peripheral macrophage and central brain microglia); v. vascular (macrovascular accelerated atherosclerosis—vascular stiffening and microvascular NVU/neuroglial remodeling) with resulting impaired cerebral blood flow.",2019 Sep 29,Type 2 Diabetes Mellitus Increases the Risk of Late-Onset Alzheimer’s Disease: Ultrastructural Remodeling of the Neurovascular Unit and Diabetic Gliopathy,Brain Sciences
14,PMC5415486,"Adipose tissue‐derived hormones are associated with metabolic disorders including type 2 diabetes mellitus. The present study investigated the levels of adiponectin and pro‐inflammatory cytokines including tumor necrosis factor‐α (TNF‐α), interleukin‐1 beta (IL‐1β) and IL‐10 in Vietnamese patients with type 2 diabetes mellitus, and their correlations with clinical parameters of overweight and type 2 diabetes mellitus.
Based on body mass index, 73 patients with type 2 diabetes mellitus were categorized either as overweight or non‐overweight. As healthy controls, 57 overweight and non‐overweight individuals without type 2 diabetes mellitus were included. The adiponectin, TNF‐α, IL‐1β and IL‐10 levels were measured in the sera samples in all study participants by enzyme‐linked immunosorbent assay and were correlated with clinical parameters.
The adiponectin levels were lower in patients with type 2 diabetes mellitus (2.5 ± 1.5 μg/mL) compared with controls (16 ± 18.6 μg/mL; P < 0.0001), and were decreased in overweight individuals compared with those who were not overweight. The TNF‐α and IL‐1β levels were increased, whereas the IL‐10 levels were decreased in patients with type 2 diabetes mellitus and in overweight controls compared with non‐overweight controls (P < 0.0001). The adiponectin levels were correlated with the TNF‐α, IL‐1β, IL‐10 levels, and the clinical parameters of overweight and type 2 diabetes mellitus. The quantitative insulin sensitivity check index and homeostasis model assessment insulin resistance indexes were correlated with the relative ratios of adiponectin/TNF‐α, adiponectin/IL‐1β, adiponectin/IL‐10, TNF‐α/IL‐10 and IL‐1β/IL‐10.
Adiponectin and pro‐inflammatory cytokines are associated with type 2 diabetes mellitus, and might serve as a prognostic marker and a therapeutic intervention for overweight‐related type 2 diabetes mellitus.",2016 Oct 30,Adiponectin and pro‐inflammatory cytokines are modulated in Vietnamese patients with type 2 diabetes mellitus,Journal of Diabetes Investigation
15,PMC5019196,"Hypernatremia is a frequent cause of intensive care unit admission. The patient presented in this article had hypernatremia refractory to D5W (dextrose 5% water) therapy, which led to a complex investigation. Workup revealed central diabetes insipidus most likely secondary to flare up of neurosarcoidosis. The challenge in terms of diagnosis was a presentation with low urine output in the setting of hypernatremia resistant to treatment with desmopressin. This case unfolded the role of hypothyroidism causing secondary renal dysfunction and hence needed continued treatment with thyroxine in addition to treatment for hypernatremia.",2016 Sep 9,Unusual Presentation of Central Diabetes Insipidus in a Patient With Neurosarcoidosis,Journal of Investigative Medicine High Impact Case Reports
16,PMC5800826,"Immune checkpoint inhibitors, including anti–programmed cell death protein 1 (PD-1), anti–programmed cell death protein ligand 1 (PD-L1), and anti–cytotoxic T-lymphocyte antigen 4 (anti-CTLA4) monoclonal antibodies, have been widely used in cancer treatment. They are known to cause immune-related adverse events (irAEs), which resemble autoimmune diseases. Anterior pituitary hypophysitis with secondary hypopituitarism is a frequently reported irAE, especially in patients receiving anti–CTLA4 treatment. In contrast, posterior pituitary involvement, such as central diabetes insipidus (DI), is relatively rare and is unreported in patients undergoing PD-1/PD-L1 blockade.
We describe a case of a 73-year-old man with Merkel cell carcinoma who received the anti–PD-L1 monoclonal antibody avelumab and achieved partial response. The patient developed nocturia, polydipsia, and polyuria 3 months after starting avelumab. Further laboratory testing revealed central DI. Avelumab was held and he received desmopressin for the management of central DI. Within 6 weeks after discontinuation of avelumab, the patient’s symptoms resolved and he was eventually taken off desmopressin. The patient remained off avelumab and there were no signs or symptoms of DI 2 months after the discontinuation of desmopressin.
To our knowledge, this is the first report of central DI associated with anti–PD-L1 immunotherapy. The patient’s endocrinopathy was successfully managed by holding treatment with the immune checkpoint inhibitor. This case highlights the importance of early screening and appropriate management of hormonal irAEs in subjects undergoing treatment with immune checkpoint inhibitors to minimize morbidity and mortality.
We report a case of central diabetes insipidus induced by the anti–PD-L1 drug avelumab. The patient was successfully managed by holding the immune checkpoint inhibitor.",2017 Dec 6,Anti–PD-L1 Treatment Induced Central Diabetes Insipidus,The Journal of Clinical Endocrinology and Metabolism
17,PMC7045001,"The emergence of tuberculosis (TB) and diabetes mellitus (DM) coepidemic threatens the gains made in fighting the prevalence of these two diseases. As a result, in 2011, WHO and the International Union Against Lung Disease launched a framework to address the growing TB-DM coepidemic across the world. The aim of the proposed review study is mapping evidence on the implementation of the WHO collaborative framework for the management of TB-DM using a scoping review.
This study will map literature on the global implementation of the WHO collaborative framework for the management of TB-DM, using Arksey and O’Malley’s scoping review framework. An extensive literature search for the peer-reviewed articles, grey literature, unpublished studies, thesis, studies in the press and a list of references from the selected studies will be conducted to find eligible studies. PubMed, Google Scholar, Web of Science, Science Direct, the EBSCOhost platform (Academic search complete, health source: nursing/academic edition, CINAHL with full text) and the WHO library will be used to source literature. The researcher will perform title screening of articles using keywords in the databases, and two independent reviewers will then screen abstracts and full articles. The screening will be guided by the inclusion and exclusion criteria. The Mixed Method Appraisal Tool V.2018 will be used to examine the quality of studies to be included. The findings will be analysed using the thematic content analysis approach and the results presented in the form of a narrative report.
The study did not require ethics approval because it is a scoping review protocol. Findings from this study will be disseminated by print and electronic mediums.",2020 Jan 21,Mapping evidence on the implementation of the WHO’s collaborative framework for the management of tuberculosis and diabetes: a scoping review protocol,BMJ Open
18,PMC6599074,"Excessive glucocorticoid secretion has been associated with type 2 diabetes mellitus (T2DM) and other features of the metabolic syndrome. We aimed to evaluate whether basal or evening salivary cortisol may predict the occurrence of incident insulin resistance (IR) or T2DM.
This was a prospective, population-based study derived from the CoLaus/PsyCoLaus study including 1525 participants (aged 57.7 ± 10.3 years; 725 women). A total of 1149 individuals were free from T2DM at baseline. Fasting plasma glucose and insulin were measured after a follow-up of 5.3 years. Basal and evening salivary cortisol were measured at baseline. The association between basal or evening salivary cortisol level and incidence of IR or T2DM were analyzed by logistic regression, and the results were expressed for each independent variable as ORs and 95% CI.
After a median follow-up of 5.3 years, a total of 376 subjects (24.7%) developed IR and 32 subjects (2.1%) developed T2DM. Basal and evening salivary cortisol divided in quartiles were not associated with incidence of IR or T2DM. Multivariable analysis for age, gender, body mass index, physical activity and smoking status showed no association between basal or evening salivary cortisol and incidence of IR or T2DM.
In the CoLaus/PsyCoLaus study of healthy adults, neither basal nor evening salivary cortisol was associated with incident IR or T2DM.",2019 Jun 6,Salivary cortisol is not associated with incident insulin resistance or type 2 diabetes mellitus,Endocrine Connections
19,PMC7955447,"It is unclear whether reversion from pre–diabetes mellitus to normoglycemia reduces cardiovascular disease (CVD) and all‐cause mortality risk in a Chinese population. We aimed to fill this research gap.
The current study included 14 231 Chinese participants (mean age, 58.08 years) who were free from myocardial infarction and stroke at the time of survey participation (2006–2007 and 2008–2009). Participants were divided into 3 categories according to the 2‐year changes in pre–diabetes mellitus, defined by fasting plasma glucose: those with progression to diabetes mellitus, those with reversion from pre–diabetes mellitus to normoglycemia, and those with persistent pre–diabetes mellitus. Cox proportional hazards models were used to calculate hazard ratios (HRs) and their 95% CIs for CVD and all‐cause mortality. After a median follow‐up period of 8.75 years, a total of 879 CVD events (including 180 myocardial infarction events and 713 stroke events) and 941 all‐cause mortality events were recorded. After adjustment for confounding factors, reversion from pre–diabetes mellitus to normoglycemia was associated with decreased risks of CVD (HR, 0.78; 95% CI, 0.64–0.96), myocardial infarction (HR, 0.62; 95% CI, 0.40–0.97), stroke (HR, 0.79; 95% CI, 0.63–0.98), and all‐cause mortality (HR, 0.82; 95% CI, 0.68–0.99) compared with progression to diabetes mellitus.
Reversion from fasting plasma glucose–defined pre–diabetes mellitus to normoglycemia was associated with a reduction in the future risk of CVD and all‐cause mortality in a Chinese population.
URL: https://www.chictr.org; Unique identifier: ChiCTRTNC‐11001489.",2021 Jan 26,Reversion From Pre–Diabetes Mellitus to Normoglycemia and Risk of Cardiovascular Disease and All‐Cause Mortality in a Chinese Population: A Prospective Cohort Study,Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease
20,PMC5214732,"Gestational diabetes mellitus (GDM), defined as any degree of glucose intolerance with onset or first recognition during pregnancy, is characterized by underlying maternal defects in the β-cell response to insulin during pregnancy. Women with a previous history of GDM have a greater than 7-fold higher risk of developing postpartum diabetes compared with women without GDM. Various risk factors for postpartum diabetes have been identified, including maternal age, glucose levels in pregnancy, family history of diabetes, pre-pregnancy and postpartum body mass index, dietary patterns, physical activity, and breastfeeding. Genetic studies revealed that GDM shares common genetic variants with type 2 diabetes. A number of lifestyle interventional trials that aimed to ameliorate modifiable risk factors, including diet, exercise, and breastfeeding, succeeded in reducing the incidence of postpartum diabetes, weight retention, and other obesity-related morbidities. The present review summarizes the findings of previous studies on the incidence and risk factors of postpartum diabetes and discusses recent lifestyle interventional trials that attempted to prevent postpartum diabetes.",2017 Jan 1,Prevention of type 2 diabetes mellitus in women with previous gestational diabetes mellitus,The Korean Journal of Internal Medicine
