conceptId,directParentId,topParentId,level,topTerm,topTermAdj,term
130020003,68101005,105590001,4,Substance (substance),Substance (substance),pyrimidine- deoxynucleoside 1 '- dioxygenase ( substance) 
418280003,228110004,105590001,4,Substance (substance),Substance (substance),stevioside ( substance) 
68198008,43314008,105590001,4,Substance (substance),Substance (substance),extracellular metabolic agent
130210002,68101005,105590001,4,Substance (substance),Substance (substance),n- hydroxy- 2 - acetamidofluorene reductase
226038003,53527002,105590001,4,Substance (substance),Substance (substance),liqueur ( substance) 
57082003,74628008,105590001,4,Substance (substance),Substance (substance),arylesterase ( substance) 
6211000124104,6201000124102,105590001,4,Substance (substance),Substance (substance),amies charcoal transport medium
49724009,372802005,105590001,4,Substance (substance),Substance (substance),pyrvinium chloride
411065008,410984004,105590001,4,Substance (substance),Substance (substance),juniper pollen allergen ( substance) 
412418005,406463001,105590001,4,Substance (substance),Substance (substance),kelp extract
13652007,313150002,105590001,4,Substance (substance),Substance (substance),silicone ( substance) 
80537001,304360003,105590001,4,Substance (substance),Substance (substance),pyy
7280004,68101005,105590001,4,Substance (substance),Substance (substance),deoxythymidine diphosphate- 4 - dehydrorhamnose reductase
255799005,45389009,105590001,4,Substance (substance),Substance (substance),flagellar
36232001,74628008,105590001,4,Substance (substance),Substance (substance),mucinaminylserine mucinaminidase
709559002,57056007,105590001,4,Substance (substance),Substance (substance),heat stable alkaline phosphatase
130437003,44121006,105590001,4,Substance (substance),Substance (substance),tau protein kinase ( substance) 
66726001,68101005,105590001,4,Substance (substance),Substance (substance),acetaldehyde dehydrogenase ( acetylating) ( substance) 
108933006,108934000,105590001,4,Substance (substance),Substance (substance),masoprocol
27440006,88878007,105590001,4,Substance (substance),Substance (substance),convalescent phase reactant ( substance) 
716229000,373267003,105590001,4,Substance (substance),Substance (substance),lomitapide mesylate
421665008,5024000,105590001,4,Substance (substance),Substance (substance),river water
130700005,74628008,105590001,4,Substance (substance),Substance (substance),stromelysin 2 
250456004,413935006,105590001,4,Substance (substance),Substance (substance),urate crystal ( substance) 
55128003,311846002,105590001,4,Substance (substance),Substance (substance),allyl cinerin
73875001,130943009,105590001,4,Substance (substance),Substance (substance),uridine diphosphate glucuronate 5 '- epimerase
881000161109,102263004,105590001,4,Substance (substance),Substance (substance),eggshell
77951004,304265005,105590001,4,Substance (substance),Substance (substance),aspartate carboxypeptidase
72003002,373477003,105590001,4,Substance (substance),Substance (substance),biphenamine
115501000,25390005,105590001,4,Substance (substance),Substance (substance),"acid phosphatase, non- prostatic fraction"
129935002,68101005,105590001,4,Substance (substance),Substance (substance),benzyl- 2 - methyl- hydroxybutyrate dehydrogenase ( substance) 
130535009,74628008,105590001,4,Substance (substance),Substance (substance),"1 , 3 - alpha- l- fucosidase"
5221000124102,444941003,105590001,4,Substance (substance),Substance (substance),brain- heart infusion broth ( substance) 
64426002,74628008,105590001,4,Substance (substance),Substance (substance),ribonuclease alpha
395794007,103022008,105590001,4,Substance (substance),Substance (substance),metyrapone
73386007,311722000,105590001,4,Substance (substance),Substance (substance),carbofuran ( substance) 
20823009,106192008,105590001,4,Substance (substance),Substance (substance),"complement, thermolabile serum protein complex with cytotoxic effect"
9021002,311722000,105590001,4,Substance (substance),Substance (substance),carbaryl
304381003,88878007,105590001,4,Substance (substance),Substance (substance),structural protein
227683009,227682004,105590001,4,Substance (substance),Substance (substance),bakewell tart ( substance) 
259744008,443017007,105590001,4,Substance (substance),Substance (substance),coagulation system antibody
130705000,74628008,105590001,4,Substance (substance),Substance (substance),thermolysin
395759000,426722004,105590001,4,Substance (substance),Substance (substance),ioversol
259734006,259733000,105590001,5,Substance (substance),Substance (substance),cytoplasmic immunoglobulin marker ( substance) 
387572002,372664007,105590001,5,Substance (substance),Substance (substance),clobazam ( substance) 
768075009,41175001,105590001,5,Substance (substance),Substance (substance),pyrethroid ( substance) 
84486008,130129000,105590001,5,Substance (substance),Substance (substance),mannose- 1 - phosphate guanylyltransferase
63621008,40992002,105590001,5,Substance (substance),Substance (substance),cluster of differentiation antigen 4 7 
58687008,256088009,105590001,5,Substance (substance),Substance (substance),p- tert- butylphenol
27138006,116274004,105590001,5,Substance (substance),Substance (substance),benzosulphimide
61103002,130129000,105590001,5,Substance (substance),Substance (substance),choline- phosphate cytidylyltransferase ( substance) 
130027000,129924007,105590001,5,Substance (substance),Substance (substance),benzoate hydroxylase
767269006,767098004,105590001,5,Substance (substance),Substance (substance),iridium and iridium compound
123582007,53041004,105590001,5,Substance (substance),Substance (substance),phenethyl alcohol
708662002,373215002,105590001,5,Substance (substance),Substance (substance),tretoquinol ( substance) 
115423004,115256001,105590001,5,Substance (substance),Substance (substance),borrelia burgdorferi 4 7 - kda protein
767844004,41175001,105590001,5,Substance (substance),Substance (substance),organic cyclic compound ( substance) 
63842008,130090009,105590001,5,Substance (substance),Substance (substance),dolichyl- phosphate- mannose- glycolipid alpha- mannosyltransferase
710184005,226915003,105590001,5,Substance (substance),Substance (substance),mutton
712610003,405831008,105590001,5,Substance (substance),Substance (substance),melanoma inhibitory activity protein
413545004,413538004,105590001,5,Substance (substance),Substance (substance),annexin a5 ( substance) 
58370003,129921004,105590001,5,Substance (substance),Substance (substance),coproporphyrinogen oxidase
443616002,373228009,105590001,5,Substance (substance),Substance (substance),bepotastine besilate ( substance) 
415720002,304372009,105590001,5,Substance (substance),Substance (substance),thyroxine binding globulin ( substance) 
417524005,31055005,105590001,5,Substance (substance),Substance (substance),incretin ( substance) 
42804003,40992002,105590001,5,Substance (substance),Substance (substance),alanine aminopeptidase
725965008,2832002,105590001,5,Substance (substance),Substance (substance),sodium molybdate dihydrate ( substance) 
77983005,767721007,105590001,5,Substance (substance),Substance (substance),lighter fluid ( substance) 
14321009,19209005,105590001,5,Substance (substance),Substance (substance),captafol ( substance) 
304245003,72993008,105590001,5,Substance (substance),Substance (substance),phospholipase ( substance) 
228073007,229963004,105590001,5,Substance (substance),Substance (substance),vegetarian food
256452006,256450003,105590001,5,Substance (substance),Substance (substance),composite dental filling material
703408007,703407002,105590001,5,Substance (substance),Substance (substance),butetamate citrate
41577000,57795002,105590001,5,Substance (substance),Substance (substance),tellurium
84024002,130090009,105590001,5,Substance (substance),Substance (substance),dolichyl- phosphate beta- glucosyltransferase ( substance) 
42732002,40992002,105590001,5,Substance (substance),Substance (substance),cluster of differentiation antigen 1 a
429660001,427911001,105590001,5,Substance (substance),Substance (substance),substance with thymidylate synthase inhibitor mechanism of action
373286006,373260001,105590001,5,Substance (substance),Substance (substance),class ib antiarrhythmic agent ( substance) 
386939003,372701006,105590001,5,Substance (substance),Substance (substance),penciclovir ( substance) 
44954009,41469002,105590001,5,Substance (substance),Substance (substance),oncogene protein tcrg ( substance) 
372822009,372668005,105590001,5,Substance (substance),Substance (substance),miotic ( substance) 
62998003,40992002,105590001,5,Substance (substance),Substance (substance),invariant chain
411990007,108405004,105590001,5,Substance (substance),Substance (substance),frovatriptan ( substance) 
423662002,410579004,105590001,5,Substance (substance),Substance (substance),respiratory secretion
711089007,272169002,105590001,5,Substance (substance),Substance (substance),mite protein
782801000,303274001,105590001,5,Substance (substance),Substance (substance),synthetic graft of skin ( substance) 
96264005,289941004,105590001,5,Substance (substance),Substance (substance),yohimbine hydrochloride
85854001,129923001,105590001,5,Substance (substance),Substance (substance),w- hydroxylase
372484000,439255000,105590001,5,Substance (substance),Substance (substance),fosphenytoin
12509005,130090009,105590001,5,Substance (substance),Substance (substance),blood group h alpha- 2 - fucosyltransferase
45141009,130073003,105590001,5,Substance (substance),Substance (substance),ornithine carbamoyltransferase
116291000,77496001,105590001,5,Substance (substance),Substance (substance),benzene hexachloride ( mixed isomers) 
256131005,256126008,105590001,5,Substance (substance),Substance (substance),diethyleneglycol diacrylate
12001002,116362000,105590001,6,Substance (substance),Substance (substance),thionine stain ( substance) 
409098008,407051005,105590001,6,Substance (substance),Substance (substance),gq1 b ganglioside antibody ( substance) 
96319006,373206009,105590001,6,Substance (substance),Substance (substance),chlortetracycline bisulfate
226823000,226818000,105590001,6,Substance (substance),Substance (substance),cheshire cheese ( substance) 
712594004,112000000,105590001,6,Substance (substance),Substance (substance),histadinyl- isoleucine
9125009,63037001,105590001,6,Substance (substance),Substance (substance),sempervirine
255824001,285775000,105590001,6,Substance (substance),Substance (substance),cytotoxic enterotoxin ( substance) 
127406005,112156004,105590001,6,Substance (substance),Substance (substance),blood group antigen enav
707546001,419190006,105590001,6,Substance (substance),Substance (substance),"erythro- 4 , 5 - dihydroxyhexanoate"
713434008,372540003,105590001,6,Substance (substance),Substance (substance),pirarubicin ( substance) 
117174000,27380003,105590001,6,Substance (substance),Substance (substance),nucleic acid sequence with relative specificity for microorganism ( substance) 
386850001,372482001,105590001,6,Substance (substance),Substance (substance),quetiapine
255746004,72551001,105590001,6,Substance (substance),Substance (substance),vanadium fumes ( substance) 
734977001,112000000,105590001,6,Substance (substance),Substance (substance),histidine monohydrochloride ( substance) 
256872005,256871003,105590001,6,Substance (substance),Substance (substance),ileal segment complete ( substance) 
734123001,6085005,105590001,6,Substance (substance),Substance (substance),hip joint synovial fluid ( substance) 
38839009,62763008,105590001,6,Substance (substance),Substance (substance),glycerol teichoic acid ( substance) 
710935001,710942001,105590001,6,Substance (substance),Substance (substance),mediterranean flour moth protein ( substance) 
33063002,48798005,105590001,6,Substance (substance),Substance (substance),blood group antigen lu1 3 
21023002,16951006,105590001,6,Substance (substance),Substance (substance),blood group antigen rh4 2 
395884009,373294004,105590001,6,Substance (substance),Substance (substance),certoparin sodium ( substance) 
710597001,116872007,105590001,6,Substance (substance),Substance (substance),immunoglobulin m antibody to bordetella pertussis
710425002,117161006,105590001,6,Substance (substance),Substance (substance),anti- cyclic citrullinated peptide igg
71428001,35079003,105590001,6,Substance (substance),Substance (substance),oil of copaiba
103069003,40924008,105590001,6,Substance (substance),Substance (substance),vitamin b ( substance) 
1169004,38082009,105590001,6,Substance (substance),Substance (substance),hemoglobin gower- 2 
80688007,259338007,105590001,6,Substance (substance),Substance (substance),pro- opiomelanocortin ( substance) 
227462009,227449005,105590001,6,Substance (substance),Substance (substance),prune
259112003,311724004,105590001,6,Substance (substance),Substance (substance),2 - ( 4 - chloro- 2 - methylphenoxy) butyric acid ( substance) 
71774003,88074008,105590001,6,Substance (substance),Substance (substance),gibberellin ( substance) 
259398005,259357003,105590001,6,Substance (substance),Substance (substance),glycoprotein and mucolipid storage disease marker ( substance) 
230050005,226896002,105590001,6,Substance (substance),Substance (substance),polyunsaturated low fat spread 3 5 - 4 0 % fat ( substance) 
710395005,117161006,105590001,6,Substance (substance),Substance (substance),immunoglobulin g antibody to burkholderia pseudomallei ( substance) 
55972001,91410008,105590001,6,Substance (substance),Substance (substance),silicate salt ( substance) 
399845006,112133008,105590001,6,Substance (substance),Substance (substance),immunoglobulin allotype
7156005,33638001,105590001,6,Substance (substance),Substance (substance),phosphorus isotope ( substance) 
227994005,227991002,105590001,6,Substance (substance),Substance (substance),complex carbohydrate food
710681003,116872007,105590001,6,Substance (substance),Substance (substance),polio virus igm
226533000,226531003,105590001,6,Substance (substance),Substance (substance),low sugar rusk
44728009,21774001,105590001,6,Substance (substance),Substance (substance),complement component c1 ( substance) 
89309003,111064005,105590001,6,Substance (substance),Substance (substance),organosulfur compound
260168003,227313005,105590001,6,Substance (substance),Substance (substance),white bean ( substance) 
25254000,373269000,105590001,6,Substance (substance),Substance (substance),procainamide hydrochloride
260073007,260071009,105590001,6,Substance (substance),Substance (substance),human leukocyte antigen b allele
78491009,299979007,105590001,7,Substance (substance),Substance (substance),trinitrobenzene
32329004,48401006,105590001,7,Substance (substance),Substance (substance),blood group antigen i foetal
725655004,31212001,105590001,7,Substance (substance),Substance (substance),calcium lactate pentahydrate
60373003,299977009,105590001,7,Substance (substance),Substance (substance),cathepsin h
734849009,70828002,105590001,7,Substance (substance),Substance (substance),hla a+ b+ c
257015007,260073007,105590001,7,Substance (substance),Substance (substance),b* 5 1 0 3 ( substance) 
17072000,299977009,105590001,7,Substance (substance),Substance (substance),cathepsin d
227789003,227771004,105590001,7,Substance (substance),Substance (substance),okra bhaji ( substance) 
16368002,36774007,105590001,7,Substance (substance),Substance (substance),cadmium fumes ( substance) 
3187008,112194004,105590001,7,Substance (substance),Substance (substance),blood group antigen nielsen ( substance) 
33396006,22907001,105590001,7,Substance (substance),Substance (substance),nickel ( substance) 
227830004,227826002,105590001,7,Substance (substance),Substance (substance),bengali black gram curry ( substance) 
711143002,301093003,105590001,7,Substance (substance),Substance (substance),methyltetrahydrophtalic anhydride
33037007,56891007,105590001,7,Substance (substance),Substance (substance),blood group antigen austin ( substance) 
720058000,710455009,105590001,7,Substance (substance),Substance (substance),immunoglobulin g antibody to herpes simplex virus glycoprotein g
126230002,767530001,105590001,7,Substance (substance),Substance (substance),calcium ascorbate
734129002,734127000,105590001,7,Substance (substance),Substance (substance),finger joint synovial fluid ( substance) 
444706005,129471005,105590001,7,Substance (substance),Substance (substance),rimabotulinumtoxinb ( substance) 
227122003,227110001,105590001,7,Substance (substance),Substance (substance),kipper ( substance) 
726535003,710535006,105590001,7,Substance (substance),Substance (substance),streptococcus pneumoniae american serotype 5 7 igg
782807001,420934007,105590001,7,Substance (substance),Substance (substance),bioengineered graft of skin ( substance) 
90537004,21936004,105590001,7,Substance (substance),Substance (substance),plutonium- 2 3 2 ( substance) 
36238002,300058003,105590001,7,Substance (substance),Substance (substance),bromochloromethane
303314008,303313002,105590001,7,Substance (substance),Substance (substance),scorpion venom ( substance) 
260054008,10440007,105590001,7,Substance (substance),Substance (substance),hla - human leukocyte antigen dr1 3 ( 6 ) 
399785009,399807005,105590001,7,Substance (substance),Substance (substance),mould specific immunoglobulin g
29135004,472007,105590001,7,Substance (substance),Substance (substance),flax fiber
725659005,767530001,105590001,7,Substance (substance),Substance (substance),calcium ascorbate dihydrate
3197004,304080007,105590001,7,Substance (substance),Substance (substance),inosine monophosphate ( substance) 
720145004,710594008,105590001,7,Substance (substance),Substance (substance),anti- bartonella vinsonii berkhoffii igm
52806007,12502001,105590001,7,Substance (substance),Substance (substance),chenopodium oil ( substance) 
227285008,227282006,105590001,7,Substance (substance),Substance (substance),crinkle cut chips
418140004,42850000,105590001,7,Substance (substance),Substance (substance),cyclooctafluorobutane
227200001,227191001,105590001,7,Substance (substance),Substance (substance),salmon canned in brine ( substance) 
27417007,56891007,105590001,7,Substance (substance),Substance (substance),blood group antigen geslin
41945007,782605007,105590001,7,Substance (substance),Substance (substance),alkylpiperidine derivative of phenothiazine
80575001,112194004,105590001,7,Substance (substance),Substance (substance),blood group antigen kaj ( substance) 
412210000,411531001,105590001,7,Substance (substance),Substance (substance),insulin lispro ( substance) 
102669009,259618000,105590001,7,Substance (substance),Substance (substance),alpha>2 < retinol binding protein ( substance) 
32317008,40830007,105590001,8,Substance (substance),Substance (substance),hemoglobin j- bangkok
388106009,387847008,105590001,8,Substance (substance),Substance (substance),vitis vinifera specific immunoglobulin e
25315004,259989002,105590001,8,Substance (substance),Substance (substance),human leukocyte antigen aw3 4 ( substance) 
699476003,720561009,105590001,8,Substance (substance),Substance (substance),taipan antivenom
766798004,766799007,105590001,8,Substance (substance),Substance (substance),oxetorone fumarate
78750006,19830006,105590001,8,Substance (substance),Substance (substance),blood group antibody sc2 ( substance) 
709377008,116635004,105590001,8,Substance (substance),Substance (substance),antigen of newcastle disease virus
81621007,26434005,105590001,8,Substance (substance),Substance (substance),indium ( 1 1 1 - in) labelled erythrocyte
23788009,35151007,105590001,8,Substance (substance),Substance (substance),ruthenium- 9 7 
709909003,77767001,105590001,8,Substance (substance),Substance (substance),aino virus ab
710712006,256277009,105590001,8,Substance (substance),Substance (substance),onion couch pollen
18743009,59202000,105590001,8,Substance (substance),Substance (substance),actinium- 2 2 8 ( substance) 
765459004,67620008,105590001,8,Substance (substance),Substance (substance),substance with hydroxyquinoline structure
76617007,373742002,105590001,8,Substance (substance),Substance (substance),ferrous chloride
96272007,299987008,105590001,8,Substance (substance),Substance (substance),butacaine sulphate
260093004,256277009,105590001,8,Substance (substance),Substance (substance),bent grass pollen
39635007,29107003,105590001,8,Substance (substance),Substance (substance),platinum- 1 9 5 m
52587009,59036003,105590001,8,Substance (substance),Substance (substance),silver- 1 1 3 ( substance) 
707275008,387847008,105590001,8,Substance (substance),Substance (substance),immunoglobulin e antibody to carya tomentosa
708222007,118249006,105590001,8,Substance (substance),Substance (substance),deoxyribonucleic acid of clostridium difficile ( substance) 
388119008,387847008,105590001,8,Substance (substance),Substance (substance),artemisia dracunculus specific immunoglobulin e ( substance) 
7904003,301457005,105590001,8,Substance (substance),Substance (substance),deanol
68039000,58674002,105590001,8,Substance (substance),Substance (substance),beta- naphthol ( substance) 
64570009,259989002,105590001,8,Substance (substance),Substance (substance),human leucocyte antigen b4 4 
120998006,116635004,105590001,8,Substance (substance),Substance (substance),rubella virus antigen ( substance) 
422394006,301712000,105590001,8,Substance (substance),Substance (substance),cetalkonium chloride ( substance) 
372155001,77767001,105590001,8,Substance (substance),Substance (substance),avian encephalomyelitis virus antibody
111162007,18247009,105590001,8,Substance (substance),Substance (substance),technetium ( 9 9 m- tc) stannous etidronate ( substance) 
301892007,259359000,105590001,8,Substance (substance),Substance (substance),biopterin analyte ( substance) 
73417005,18992008,105590001,8,Substance (substance),Substance (substance),zetekitoxin ( substance) 
17172002,27120008,105590001,8,Substance (substance),Substance (substance),dibromofluorescein stain
259923003,116761009,105590001,8,Substance (substance),Substance (substance),ki antibody ( substance) 
259563006,22244007,105590001,8,Substance (substance),Substance (substance),minimally modified low density lipoprotein
444318003,77767001,105590001,8,Substance (substance),Substance (substance),avian paramyxovirus 2 antibody
259435006,41579002,105590001,8,Substance (substance),Substance (substance),beta- hexosaminidase a ( substance) 
78263004,399817000,105590001,9,Substance (substance),Substance (substance),"immunoglobulin, constant region"
709159008,709158000,105590001,9,Substance (substance),Substance (substance),antigen of vesicular stomatitis new jersey virus
180683002,256737000,105590001,9,Substance (substance),Substance (substance),forehead random pattern flap
724031004,35098001,105590001,9,Substance (substance),Substance (substance),luliconazole ( substance) 
725963001,112001001,105590001,9,Substance (substance),Substance (substance),glycyl- tyrosine dihydrate
711275007,256841006,105590001,9,Substance (substance),Substance (substance),posterior tibial flap
15275007,106204005,105590001,9,Substance (substance),Substance (substance),blood group antibody raddon
26720006,106213007,105590001,9,Substance (substance),Substance (substance),blood group antibody mcc^c^ ( substance) 
256823003,256816004,105590001,9,Substance (substance),Substance (substance),flexor hallucis brevis flap
260111000,290008007,105590001,9,Substance (substance),Substance (substance),russian thistle pollen ( substance) 
18414002,112113009,105590001,9,Substance (substance),Substance (substance),d3 - colecalciferol
2159007,2649007,105590001,9,Substance (substance),Substance (substance),naphthylamine red
256274002,782576004,105590001,9,Substance (substance),Substance (substance),lilac pollen
708498000,708389004,105590001,9,Substance (substance),Substance (substance),deoxyribonucleic acid of variola virus ( substance) 
84433005,83391000,105590001,9,Substance (substance),Substance (substance),human leukocyte antigen bw5 6 ( substance) 
442355002,259576000,105590001,9,Substance (substance),Substance (substance),isopropyl palmitate
35906006,106213007,105590001,9,Substance (substance),Substance (substance),blood group antibody mpd
127443007,127407001,105590001,9,Substance (substance),Substance (substance),antibody to antigen in isbt system ch/ rg
360245004,18858006,105590001,9,Substance (substance),Substance (substance),adrenochrome
720114003,121200006,105590001,9,Substance (substance),Substance (substance),proviral deoxyribonucleic acid of human immunodeficiency virus 2 
710510000,444048006,105590001,9,Substance (substance),Substance (substance),anti- rickettsia typhus group igg
712782005,412628007,105590001,9,Substance (substance),Substance (substance),ustilago tritici specific immunoglobulin e
20083007,56822005,105590001,9,Substance (substance),Substance (substance),di- isobutyl cresolyl ethoxy ethyl dimethyl benzyl ammonium chloride ( substance) 
96131000,12878005,105590001,9,Substance (substance),Substance (substance),thenium closylate ( substance) 
76874007,24898000,105590001,10,Substance (substance),Substance (substance),blood group antibody berrio ( substance) 
180789008,180823001,105590001,10,Substance (substance),Substance (substance),tibialis anterior myocutaneous flap ( substance) 
49744003,24898000,105590001,10,Substance (substance),Substance (substance),blood group antibody m1 ^a^ ( substance) 
52991006,21158003,105590001,10,Substance (substance),Substance (substance),blood group antibody bryant ( substance) 
75228005,21158003,105590001,10,Substance (substance),Substance (substance),blood group antibody vienna 5 2 2 8 7 7 
4864008,54941006,105590001,10,Substance (substance),Substance (substance),adenylic acid ( substance) 
443411002,48583005,105590001,10,Substance (substance),Substance (substance),ige ( immunoglobulin e) antibody to omega- 5 gliadin
707922000,707923005,105590001,10,Substance (substance),Substance (substance),ribonucleic acid of influenza a virus polymerase ( substance) 
710650007,120695007,105590001,10,Substance (substance),Substance (substance),anti- puumala virus igm
116954002,120841000,105590001,10,Substance (substance),Substance (substance),"human immunodeficiency virus, type i glycoprotein 3 4 antibody"
446469004,120753009,105590001,10,Substance (substance),Substance (substance),influenza a virus a/ bangkok/ 2 / 7 9 ( h3 n2 ) antibody
434444004,433485000,105590001,10,Substance (substance),Substance (substance),deoxycholate
444839000,120842007,105590001,10,Substance (substance),Substance (substance),human immunodeficiency virus 2 protein 5 3 antibody
57595000,24898000,105590001,10,Substance (substance),Substance (substance),blood group antibody kowanski ( substance) 
117189009,117188001,105590001,10,Substance (substance),Substance (substance),ribosomal ribonucleic acid of mycobacterium avium ( substance) 
709745007,120870009,105590001,10,Substance (substance),Substance (substance),antibody to leptospira interrogans serovar robinsoni
259826005,120651001,105590001,10,Substance (substance),Substance (substance),chlamydophila psittaci biogroup 2 antibody
50665003,103036003,105590001,10,Substance (substance),Substance (substance),hydrocortisone butyrate ( substance) 
707561000,120749007,105590001,10,Substance (substance),Substance (substance),immunoglobulin e antibody to blastomyces dermatitidis
709713002,120753009,105590001,10,Substance (substance),Substance (substance),influenza a virus h6 antibody
8731008,21158003,105590001,10,Substance (substance),Substance (substance),blood group antibody austin ( substance) 
709792006,120962003,105590001,10,Substance (substance),Substance (substance),anti- coxsackievirus a8 antibody
709714008,120753009,105590001,10,Substance (substance),Substance (substance),anti- influenza a virus h7 antibody
59840008,24898000,105590001,10,Substance (substance),Substance (substance),blood group antibody zt^a^
710642003,116869000,105590001,11,Substance (substance),Substance (substance),anti- epstein barr virus capsid igm
85751002,112116001,105590001,11,Substance (substance),Substance (substance),1 7 - hydroxyprogesterone ( substance) 
32197004,116607003,105590001,11,Substance (substance),Substance (substance),clobetasol propionate ( substance) 
719969006,710364003,105590001,11,Substance (substance),Substance (substance),immunoglobulin g antibody to ascaris lumbricoides adult ( substance) 
419129004,116607003,105590001,11,Substance (substance),Substance (substance),clobetasol
419204001,372788003,105590001,11,Substance (substance),Substance (substance),sulfacarbamide ( substance) 
7948008,77525008,105590001,11,Substance (substance),Substance (substance),cd1 5 antibody
720127004,120754003,105590001,11,Substance (substance),Substance (substance),immunoglobulin g antibody to legionella pneumophila 1 
387481005,264325000,105590001,12,Substance (substance),Substance (substance),valproate sodium
417288007,373218000,105590001,12,Substance (substance),Substance (substance),carfecillin
707774008,102717006,105590001,12,Substance (substance),Substance (substance),rumenic acid
720248008,112135001,105590001,12,Substance (substance),Substance (substance),anti- filaria igg3 
372670001,372859005,105590001,12,Substance (substance),Substance (substance),ceftriaxone
372670001,372859005,105590001,12,Substance (substance),Substance (substance),ceftriaxone ( substance) 
118235002,118234003,118234003,1,Finding by site (finding),Finding by site (finding),eye / vision finding ( finding) 
249031003,118234003,118234003,1,Finding by site (finding),Finding by site (finding),presenting part tightly applied ( finding) 
41992006,386617003,118234003,2,Finding by site (finding),Finding by site (finding),abnormal gastric acidity
102548001,106030000,118234003,2,Finding by site (finding),Finding by site (finding),straining
408315006,118235002,118234003,2,Finding by site (finding),Finding by site (finding),on examination - pinhole left eye sees hand movements
737306007,123946008,118234003,2,Finding by site (finding),Finding by site (finding),chronic visceral pain ( disorder) 
436781000124104,118934005,118234003,3,Finding by site (finding),Finding by site (finding),intracranial artery occlusion with infarction ( disorder) 
300358007,386618008,118234003,3,Finding by site (finding),Finding by site (finding),functional observations of gastrointestinal tract
300398009,106076001,118234003,3,Finding by site (finding),Finding by site (finding),abdominal skin scar
417242001,118953000,118234003,3,Finding by site (finding),Finding by site (finding),somatic dysfunction of rib ( finding) 
385342005,118953000,118234003,3,Finding by site (finding),Finding by site (finding),bone density finding
301766008,299718000,118234003,3,Finding by site (finding),Finding by site (finding),lesion of brain ( finding) 
366091006,366079002,118234003,3,Finding by site (finding),Finding by site (finding),sounds associated with eye movement - finding
399940000,129565002,118234003,3,Finding by site (finding),Finding by site (finding),hamartoma of muscle
446340009,301810000,118234003,3,Finding by site (finding),Finding by site (finding),infection of catheter exit site ( disorder) 
735545002,128127008,118234003,3,Finding by site (finding),Finding by site (finding),dissociative neurological symptom disorder with visual symptom
