text_id,text
11716850,"The effects of mitiglinide (KAD-1229), a new anti-diabetic drug, on ATP-sensitive K+ channels and insulin secretion: comparison with the sulfonylureas and nateglinide. Mitiglinide (KAD-1229), a new anti-diabetic drug, is thought to stimulate insulin secretion by closing the ATP-sensitive K+ (K(ATP)) channels in pancreatic beta-cells. However, its selectivity for the various K(ATP) channels is not known. In this study, we examined the effects of mitiglinide on various cloned K(ATP) channels (Kir6.2/SUR1, Kir6.2/SUR2A, and Kir6.2/SUR2B) reconstituted in COS-1 cells, and compared them to another meglitinide-related compound, nateglinide. Patch-clamp analysis using inside-out recording configuration showed that mitiglinide inhibits the Kir6.2/SUR1 channel currents in a dose-dependent manner (IC50 value, 100 nM) but does not significantly inhibit either Kir6.2/SUR2A or Kir6.2/SUR2B channel currents even at high doses (more than 10 microM). Nateglinide inhibits Kir6.2/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM). Binding experiments on mitiglinide, nateglinide, and repaglinide to SUR1 expressed in COS-1 cells revealed that they inhibit the binding of [3H]glibenclamide to SUR1 (IC50 values: mitiglinide, 280 nM; nateglinide, 8 microM; repaglinide, 1.6 microM), suggesting that they all share a glibenclamide binding site. The insulin responses to glucose, mitiglinide, tolbutamide, and glibenclamide in MIN6 cells after chronic mitiglinide, nateglinide, or repaglinide treatment were comparable to those after chronic tolbutamide and glibenclamide treatment. These results indicate that, similar to the sulfonylureas, mitiglinide is highly specific to the Kir6.2/SUR1 complex, i.e., the pancreatic beta-cell K(ATP) channel, and suggest that mitiglinide may be a clinically useful anti-diabetic drug."
23487168,"A systematic comparison of the properties of clinically used angiotensin II type 1 receptor antagonists. Angiotensin II type 1 receptor antagonists (ARBs) have become an important drug class in the treatment of hypertension and heart failure and the protection from diabetic nephropathy. Eight ARBs are clinically available [azilsartan, candesartan, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan]. Azilsartan (in some countries), candesartan, and olmesartan are orally administered as prodrugs, whereas the blocking action of some is mediated through active metabolites. On the basis of their chemical structures, ARBs use different binding pockets in the receptor, which are associated with differences in dissociation times and, in most cases, apparently insurmountable antagonism. The physicochemical differences between ARBs also manifest in different tissue penetration, including passage through the blood-brain barrier. Differences in binding mode and tissue penetration are also associated with differences in pharmacokinetic profile, particularly duration of action. Although generally highly specific for angiotensin II type 1 receptors, some ARBs, particularly telmisartan, are partial agonists at peroxisome proliferator-activated receptor-γ. All of these properties are comprehensively reviewed in this article. Although there is general consensus that a continuous receptor blockade over a 24-hour period is desirable, the clinical relevance of other pharmacological differences between individual ARBs remains to be assessed."
23019138,"Diuretic effects of cannabinoids. In vivo effects of cannabinoid (CB) agonists are often assessed using four well-established measures: locomotor activity, hypothermia, cataleptic-like effects, and analgesia. The present studies demonstrate that doses of CB agonists that produce these effects also reliably increase diuresis. Diuretic effects of several CB agonists were measured in female rats over 2 hours immediately after drug injection, and results were compared with hypothermic effects. Direct-acting CB1 agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia. The highest doses of cannabinoid drugs yielded, on average, 26-32 g/kg urine; comparable effects were obtained with 10 mg/kg furosemide and 3.0 mg/kg trans-(-)-3,4-dichloro-N-methyl-N-[2-(1-pyrrolidinyl)cyclohexyl]benzeneacetamide (U50-488). Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the CB2 agonist AM1241 [1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole], the anandamide transport inhibitor AM404, and the CB antagonist rimonabant did not have diuretic effects. In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)]. These data indicate that cannabinoids have robust diuretic effects in rats that are mediated via CB1 receptor mechanisms."
12065695,"Nonsteroidal anti-inflammatory drugs induce apoptosis in association with activation of peroxisome proliferator-activated receptor gamma in rheumatoid synovial cells. Nonsteroidal anti-inflammatory drugs (NSAIDs) have been reported to induce apoptosis in a variety of cell lines. In this study, we examined the effect of NSAIDs on the growth and apoptosis of synovial cells from patients with rheumatoid arthritis and analyzed the activation of peroxisome proliferator-activated receptor gamma (PPARgamma) as a possible mechanism of action of NSAIDs. Cell proliferation and viability were assessed from 5-bromo-2'-deoxyuridine incorporation and by 4-[3-(4-iodophenyl)-2-(4-nitrophenyl)-2H-5-tetrazolio]-1,3-benzene disulfonate (WST-1) assay, respectively. The apoptosis of synovial cells was identified by DNA fragmentation assay and terminal deoxynucleotidyl transferase-mediated dUTP nick-end labeling assay. Indometacin, diclofenac, oxaprozin, and zaltoprofen reduced cell proliferation and induced apoptotic cell death in synovial cells, whereas ketoprofen and acetaminophen did not. N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide (NS-398), a selective cyclooxygenase-2 inhibitor, also inhibited cell proliferation, whereas it did not cause apoptosis. Rheumatoid synovial cells expressed PPARgamma mRNA, and the PPARgamma ligands 15-deoxy-Delta(12,14)-prostaglandin J(2) and troglitazone reduced the proliferation and induced apoptosis in synovial cells. Luciferase reporter assay demonstrated that not only PPARgamma ligands but also NSAIDs, which could induce apoptosis, increased the activation of PPARgamma in synovial cells. Furthermore, the ability of NSAIDs and PPARgamma ligands to stimulate the activation of PPARgamma correlated with their ability to decrease cell viability(r = 0.92, p < 0.01) and ability to induce DNA fragmentation (r = 0.97, p < 0.001) in synovial cells. These results suggest that PPARgamma is an attractive target for induction of apoptosis in rheumatoid synovial cells and that the activation of the PPARgamma pathway is associated with the apoptotic action of NSAIDs."
23214423,"Anisotropy of chemical bonding in semifluorinated graphite C2F revealed with angle-resolved X-ray absorption spectroscopy. Highly oriented pyrolytic graphite characterized by a low misorientation of crystallites is fluorinated using a gaseous mixture of BrF(3) with Br(2) at room temperature. The golden-colored product, easily delaminating into micrometer-size transparent flakes, is an intercalation compound where Br(2) molecules are hosted between fluorinated graphene layers of approximate C(2)F composition. To unravel the chemical bonding in semifluorinated graphite, we apply angle-resolved near-edge X-ray absorption fine structure (NEXAFS) spectroscopy and quantum-chemical modeling. The strong angular dependence of the CK and FK edge NEXAFS spectra on the incident radiation indicates that room-temperature-produced graphite fluoride is a highly anisotropic material, where half of the carbon atoms are covalently bonded with fluorine, while the rest of the carbon atoms preserve π electrons. Comparison of the experimental CK edge spectrum with theoretical spectra plotted for C(2)F models reveals that fluorine atoms are more likely to form chains. This conclusion agrees with the atomic force microscopy observation of a chain-like pattern on the surface of graphite fluoride layers."
16840830,"Two novel mutations in the MEN1 gene in subjects with multiple endocrine neoplasia-1. Multiple endocrine neoplasia type 1 (MEN1) is characterized by parathyroid, enteropancreatic endocrine and pituitary adenomas as well as germline mutation of the MEN1 gene. We describe 2 families with MEN1 with novel mutations in the MEN1 gene. One family was of Turkish origin, and the index patient had primary hyperparathyroidism (PHPT) plus a prolactinoma; three relatives had PHPT only. The index patient in the second family was a 46-yr-old woman of Chinese origin living in Taiwan. This patient presented with a complaint of epigastric pain and watery diarrhea over the past 3 months, and had undergone subtotal parathyroidectomy and enucleation of pancreatic islet cell tumor about 10 yr before. There was also a prolactinoma. Sequence analysis of the MEN1 gene from leukocyte genomic DNA revealed heterozygous mutations in both probands. The Turkish patient and her affected relatives all had a heterozygous A to G transition at codon 557 (AAG-->GAG) of exon 10 of MEN1 that results in a replacement of lysine by glutamic acid. The Chinese index patient and one of her siblings had a heterozygous mutation at codon 418 of exon 9 (GAC-->TAT) that results in a substitution of aspartic acid by tyrosine. In conclusion, we have identified 2 novel missense mutations in the MEN1 gene."
15736931,"Mutation of arginine 228 to lysine enhances the glucosyltransferase activity of bovine beta-1,4-galactosyltransferase I. Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency. In addition, alpha-lactalbumin (LA) enhances this Glc-T activity more than 25 times. Comparison of the crystal structures of UDP-Gal- and UDP-Glc-bound beta4Gal-T1 reveals that the O4 hydroxyl group in both Gal and Glc moieties forms a hydrogen bond with the side chain carboxylate group of Glu317. The orientation of the O4 hydroxyl of glucose causes a steric hindrance to the side chain carboxylate group of Glu317, accounting for the enzyme's low Glc-T activity. In this study, we show that mutation of Arg228, a residue in the vicinity of Glu317, to lysine (R228K-Gal-T1) results in a 15-fold higher Glc-T activity, which is further enhanced by LA to nearly 25% of the Gal-T activity of the wild type. The kinetic parameters indicate that the main effect of the mutation of Arg228 to lysine is on the k(cat) of Glc-T, which increases 3-4-fold, both in the absence and in the presence of LA; simultaneously, the k(cat) for the Gal-T reaction is reduced 30-fold. The crystal structure of R228K-Gal-T1 complexed with LA, UDP-Gal, and Mn(2+) determined at 1.9 A resolution shows that the Asp318 side chain exhibits a minor alternate conformation, compared to that in the wild type. This alternate conformation now causes a steric hindrance to the O4 hydroxyl group of the Gal moiety of UDP-Gal, probably causing the dissociation of UDP-Gal and the reduced k(cat) of the Gal-T reaction."
23414802,"Discovery of novel 2-hydroxydiarylamide derivatives as TMPRSS4 inhibitors. TMPRSS4 is a novel type II transmembrane serine protease that has been implicated in the invasion and metastasis of colon cancer cells. In this study, a novel series of 2-hydroxydiarylamide derivatives were synthesized and evaluated for inhibiting TMPRSS4 serine protease activity and suppressing cancer cell invasion. These derivatives demonstrated good inhibitory activity against TMPRSS4 serine protease, which correlated with the promising anti-invasive activity of colon cancer cells overexpressing TMPRSS4."
23578689,"Conformationally restricted homotryptamines. Part 6: Indole-5-cycloalkyl methylamines as selective serotonin reuptake inhibitors. Racemic 5-(trans-2-aminomethylcyclopropyl)indoles, 5-(trans-2-aminomethylcyclopentyl) indoles, and 5-(cis-2-aminomethylcyclopentyl)indoles were synthesized and evaluated as selective serotonin reuptake inhibitors. These analogs followed SAR trends similar to those previously reported for 3-cycloalkyl substituted indoles. The most potent analogs exhibited single digit nanomolar inhibition at the human serotonin transporter but were 10-fold less active than the previously reported compounds."
15908512,"Beta1 adrenergic receptor-mediated enhancement of hippocampal CA3 network activity. Norepinephrine is an endogenous neurotransmitter distributed throughout the mammalian brain. In higher cortical structures such as the hippocampus, norepinephrine, via beta adrenergic receptor (AR) activation, has been shown to reinforce the cognitive processes of attention and memory. In this study, we investigated the effect of beta1AR activation on hippocampal cornu ammonis 3 (CA3) network activity. AR expression was first determined using immunocytochemistry with antibodies against beta1ARs, which were found to be exceptionally dense in hippocampal CA3 pyramidal neurons. CA3 network activity was then examined in vitro using field potential recordings in rat brain slices. The selective betaAR agonist isoproterenol caused an enhancement of hippocampal CA3 network activity, as measured by an increase in frequency of spontaneous burst discharges recorded in the CA3 region. In the presence of alphaAR blockade, concentration-response curves for isoproterenol, norepinephrine, and epinephrine suggested that a beta1AR was involved in this response, and the rank order of potency was isoproterenol > norepinephrine = epinephrine. Finally, equilibrium dissociation constants (pK(b)) of subtype-selective betaAR antagonists were functionally determined to characterize the AR subtype modulating hippocampal CA3 activity. The selective beta1AR antagonists atenolol and metoprolol blocked isoproterenol-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively. In contrast, the selective beta2AR antagonists ICI-118,551 and butoxamine inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively). Together, this pharmacological profile of subtype-selective betaAR antagonists indicates that in this model, beta1AR activation is responsible for the enhanced hippocampal CA3 network activity initiated by isoproterenol."
14507899,"P2Y(2) receptor agonist INS37217 enhances functional recovery after detachment caused by subretinal injection in normal and rds mice. PURPOSE: To evaluate the effects of INS37217 on the recovery of retinal function after experimental retinal detachment induced by subretinal injection. METHODS: Subretinal injections of 1 micro L of fluorescent microbeads, saline, or INS37217 (1-200 micro M) were made by the transvitreal method in normal (C57BL/6) mice and in mice heterozygous for the retinal degeneration slow (rds) gene. Control, mock-injected animals underwent corneal puncture without injection. Histologic and ERG evaluations were made at 0 to 1 and 8 hours, and 1, 3, 7, 10, 14, and 60 days post injection (PI). DNA fragmentation was evaluated by terminal deoxynucleotidyl transferase-mediated uridine 5'-triphosphate-biotin nick end labeling (TUNEL). RESULTS: A single subretinal injection of saline solution containing fluorescent beads caused a histologically evident retinal detachment and distributed the microbeads to almost all the subretinal space. Spontaneous reattachment occurred within 24 hours after injection and was accompanied by evident retinal folding that appeared largely resolved by 6 days later. Relative to controls, injection of saline resulted in approximately 40% recovery of dark-adapted a-wave amplitude at 24 hours PI and gradually improved to approximately 90% of controls at 2 months PI. Subretinal injection of saline containing INS37217 (10 micro M) significantly increased rod and cone ERG of normal and rds(+/-) mice at 1 and 10 days PI, when compared with injection of saline alone. Additionally, INS37217 reduced the number of TUNEL-positive photoreceptors and the enhanced rate of reattachment. CONCLUSIONS: Enhancement of ERG recovery by INS37217 is likely due to reduced retinal folding and cell death associated with detachment. These results support the use of INS37217 to help restore function after therapies that involve subretinal administration of drugs in animal models of retinal diseases."
12904467,"Selective antagonism of GluR5 kainate-receptor-mediated synaptic currents by topiramate in rat basolateral amygdala neurons. Topiramate is a widely used antiepileptic agent whose mechanism of action is poorly understood. The drug has been reported to interact with various ion channel types, including AMPA/kainate receptors. In whole-cell voltage-clamp recordings from principal neurons of the rat basolateral amygdala, topiramate at low concentrations (IC50, approximately 0.5 microm) selectively inhibited pharmacologically isolated excitatory synaptic currents mediated by kainate receptors containing the GluR5 subunit. Topiramate also partially depressed predominantly AMPA-receptor-mediated EPSCs, but with lower efficacy. Topiramate did not alter the degree of facilitation in paired-pulse experiments, and it reduced the amplitude of miniature EPSCs without affecting their frequency, demonstrating that the block of synaptic responses occurs postsynaptically. Inhibition of GluR5 kainate receptors could represent a key mechanism underlying the anticonvulsant activity of topiramate. Moreover, these results support the concept that GluR5 kainate receptors represent a novel target for antiepileptic drug development."
23210783,"From traditional European medicine to discovery of new drug candidates for the treatment of dementia and Alzheimer's disease: acetylcholinesterase inhibitors. The leading Alzheimer's disease (AD) therapeutics to date involves inhibitors of acetylcholinesterase (AChE), which should, in principle, elevate cholinergic signaling and limit inflammation. In spite of the effectiveness in 20%-30% of AD patients, more attention has been paid to find new anti-AChE agents from medicinal plants. Galanthamine, contained in the bulbs and flowers of Galanthus and related genera like Narcissus, represents a good example. The aim of this study is to review the role of possible AChE inhibitors (AChEI) present in plants traditionally used in European medicine for improving memory. Starting from Galanthamine, properties of Melissa species, Salvia officinalis, Arnica chamissonis and Ruta graveolens are discussed to point to the role of these plants as potential sources for the development of therapeutic agents for AD."
